Player,Team,Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,GCA_SCA,GCA_SCA90,GCA_GCA,GCA_GCA90,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Att,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Played Time,Estimated Value
Aaron Ramsdale,,26.95,25,25,2250.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.32,67.7,8.0,28.6,30.6,0.0,0.08,16.2,675,65.3,18762,99.5,95.9,39.5,0,32,1,0,0,3,0.12,0,0.0,0,0,2,2,0,0,0,2,1111,803,1094,20,0,0,0,45.0,43.9,687,2044,0,0,0,2,0,621,0,1,4,0,0,18,4,0,100.0,2160.0,18700000.0
Aaron Wan-Bissaka,,27.41,31,30,2704.0,2,2,1,0,1.0,2.7,93,118,131,0.07,0.07,0.03,0.09,1.3849999999999998,69.05,24.5,0.0,30.8,0.13,0.15,15.5,1234,80.9,17639,89.7,82.1,47.9,27,85,27,11,118,75,2.5,5,0.17,61,43,26,7,31,9,22,57,1900,134,610,808,509,38,95,53.7,34.7,887,3193,93,54,12,28,20,1090,131,22,23,4,61,153,22,28,44.0,2704.0,29700000.0
Abdoulaye Doucouré,,32.31,29,28,2335.0,3,1,5,1,3.7,2.3,38,74,88,0.12,0.04,0.14,0.09,1.3849999999999998,69.05,24.5,0.0,32.1,0.35,0.11,13.9,657,79.8,9948,84.9,83.2,74.1,26,43,14,0,74,53,2.04,2,0.08,42,25,33,21,29,6,23,9,1055,31,213,481,376,56,41,56.1,43.9,559,1301,38,22,8,32,34,680,88,46,5,9,22,134,29,40,42.0,2245.0,5800000.0
Adam Armstrong,,28.2,20,15,1248.0,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,1.3849999999999998,69.05,24.5,0.0,28.0,0.5,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7,1248.0,15100000.0
Adam Smith,,33.99,21,16,1319.0,0,0,5,0,0.7,0.2,12,39,31,0.0,0.0,0.04,0.02,1.3849999999999998,69.05,24.5,0.0,0.0,0.0,0.0,16.9,415,75.7,6761,87.7,78.8,35.3,6,39,6,3,39,17,1.16,1,0.07,20,10,23,12,10,3,7,14,671,34,205,316,154,6,15,40.0,40.0,293,577,12,15,0,10,6,320,31,13,10,0,28,40,12,12,50.0,1236.0,1500000.0
Adam Wharton,,20.9,19,15,1258.0,0,2,2,0,0.3,3.0,14,105,10,0.0,0.14,0.02,0.21,1.3849999999999998,69.05,24.5,0.0,41.7,0.36,0.0,25.8,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4,1088.0,49300000.0
Adama Traoré,,29.25,31,16,1523.0,2,5,2,0,3.8,4.1,81,57,139,0.12,0.3,0.22,0.24,1.3849999999999998,69.05,24.5,0.0,31.4,0.65,0.06,14.3,368,71.7,5733,81.3,72.9,54.3,33,32,27,14,57,67,3.96,8,0.47,17,12,13,8,6,0,6,1,701,2,71,254,396,83,85,49.4,37.6,468,2119,81,40,32,30,19,532,139,20,29,1,84,75,24,25,49.0,1516.0,8199999.999999999
Alejandro Garnacho,,20.82,32,21,1966.0,5,1,2,0,6.2,3.5,130,50,260,0.23,0.05,0.28,0.16,1.3849999999999998,69.05,24.5,0.0,37.0,1.24,0.07,16.9,579,79.3,8106,89.5,82.9,56.5,29,19,21,3,50,69,3.16,4,0.18,28,18,33,22,17,0,17,11,1033,13,118,329,603,152,82,29.3,62.2,748,2922,130,66,63,57,46,793,260,10,38,9,47,102,3,23,11.5,1876.0,59200000.0
Alex Iwobi,,28.98,33,31,2636.0,9,5,1,0,4.3,6.4,128,185,214,0.31,0.17,0.15,0.22,1.3849999999999998,69.05,24.5,0.0,45.0,0.92,0.15,18.5,995,74.5,17083,85.8,77.6,54.3,52,100,74,15,185,111,3.79,15,0.51,37,21,28,11,25,1,24,11,1631,31,222,660,774,103,83,50.6,44.6,1159,3894,128,94,37,54,38,1270,214,16,16,4,109,122,5,29,14.7,2553.0,31200000.0
Alexander Isak,,25.59,30,30,2411.0,21,6,1,0,17.5,4.0,76,74,192,0.78,0.22,0.66,0.15,1.3849999999999998,69.05,24.5,0.0,45.1,1.38,0.23,14.4,441,73.6,6305,82.5,77.4,62.9,38,32,23,1,74,83,3.1,14,0.52,12,5,12,7,18,2,16,3,896,19,52,337,521,166,85,49.4,49.4,541,1700,76,40,42,59,50,632,192,24,12,20,15,52,25,47,34.7,2265.0,119400000.0
