,Player,From / To,Date,Price,Standard_Min
0,André,Fluminense/Wolverhampton,30-08-2024,€22M,1997.0
1,Aaron Ramsdale,Arsenal/Southampton,30-08-2024,€21.4M,2160.0
2,Maxence Lacroix,VfL Wolfsburg/C. Palace,30-08-2024,€18M,2486.0
3,Bilal El Khannouss,Genk/Leicester,29-08-2024,€20.5M,1748.0
4,Mikel Merino,Real Sociedad/Arsenal,27-08-2024,€32M,1345.0
5,Dara O'Shea,Burnley/Ipswich Town,25-08-2024,€14.2M,2582.0
6,Jack Clarke,Sunderland/Ipswich Town,24-08-2024,€17.7M,960.0
7,Joachim Andersen,C. Palace/Fulham,23-08-2024,€29.5M,1953.0
8,İlkay Gündoğan,Barcelona/Man City,23-08-2024,Free,1787.0
9,Jordan Ayew,C. Palace/Leicester,23-08-2024,€5.9M,1310.0
10,Sepp van den Berg,Liverpool/Brentford,22-08-2024,€23.6M,2046.0
11,Sander Berge,Burnley/Fulham,22-08-2024,€23.6M,1824.0
12,Mateus Fernandes,Sporting CP/Southampton,20-08-2024,€15M,2409.0
13,Georginio Rutter,Leeds United/Brighton,19-08-2024,€46.7M,1656.0
14,Evanilson,Porto/B'mouth,16-08-2024,€37M,1723.0
15,Cameron Archer,Aston Villa/Southampton,16-08-2024,€17.6M,1314.0
16,Sammie Szmodics,Blackburn/Ipswich Town,16-08-2024,€10.6M,979.0
17,Aaron Wan-Bissaka,Man Utd/West Ham United,13-08-2024,€17.6M,2704.0
18,Noussair Mazraoui,Bayern/Man Utd,13-08-2024,€15M,2475.0
19,Matthijs de Ligt,Bayern/Man Utd,13-08-2024,€45M,2089.0
20,Pedro Neto,Wolverhampton/Chelsea,11-08-2024,€60M,1743.0
21,Dominic Solanke,B'mouth/Tottenham,10-08-2024,€64.3M,2028.0
22,Guido Rodríguez,Real Betis/West Ham United,01-07-2024,Free,1018.0
23,Emile Smith Rowe,Arsenal/Fulham,02-08-2024,€31.8M,1805.0
24,Dean Huijsen,Juventus/B'mouth,30-07-2024,€15.2M,1874.0
25,Jake O'Brien,Lyon/Everton,30-07-2024,€19.5M,1121.0
26,Riccardo Calafiori,Bologna/Arsenal,29-07-2024,€45M,925.0
27,Amadou Onana,Everton/Aston Villa,22-07-2024,€59.4M,1254.0
28,Nikola Milenković,Fiorentina/Nottingham,18-07-2024,€14.3M,2790.0
29,Leny Yoro,Lille/Man Utd,18-07-2024,€62M,967.0
30,Sávio,Troyes/Man City,18-07-2024,€25M,1657.0
31,Flynn Downes,West Ham United/Southampton,16-07-2024,€17.9M,1611.0
32,Joshua Zirkzee,Bologna/Man Utd,14-07-2024,€42.5M,1402.0
33,Yukinari Sugawara,AZ/Southampton,14-07-2024,€7M,1467.0
34,Liam Delap,Man City/Ipswich Town,13-07-2024,€17.9M,2344.0
35,Jacob Greaves,Hull City/Ipswich Town,12-07-2024,€21.5M,1665.0
36,Cameron Archer,Sheff Utd/Aston Villa,11-07-2024,€16.7M,1314.0
37,Caleb Okoli,Atalanta/Leicester,09-07-2024,€14M,1124.0
38,Max Kilman,Wolverhampton/West Ham United,06-07-2024,€47.5M,2808.0
39,David Raya,Brentford/Arsenal,01-07-2024,€31.9M,2880.0
40,Iliman Ndiaye,Marseille/Everton,03-07-2024,€18M,2039.0
41,Orel Mangala,Nottingham/Lyon,02-07-2024,€23.4M,1261.0
42,Archie Gray,Leeds United/Tottenham,02-07-2024,€41.3M,1346.0
43,Daichi Kamada,Lazio/C. Palace,01-07-2024,Free,1198.0
44,Ben Johnson,West Ham United/Ipswich Town,01-07-2024,Free,1222.0
45,Yankuba Minteh,Newcastle Utd./Brighton,01-07-2024,€35M,1406.0
46,Elliot Anderson,Newcastle Utd./Nottingham,01-07-2024,€41.2M,2227.0
47,Taylor Harwood-Bellis,Man City/Southampton,01-07-2024,€23M,2390.0
48,Tosin Adarabioyo,Fulham/Chelsea,01-07-2024,Free,1227.0
49,Lewis Hall,Chelsea/Newcastle Utd.,01-07-2024,€33M,2189.0
50,Lucas Bergvall,Djurgarden/Tottenham,01-07-2024,€10M,1112.0
