Player,Played Time,Estimated Value
Aaron Ramsdale,2160.0,€18.7M
Aaron Wan-Bissaka,2704.0,€29.7M
Abdoulaye Doucouré,2245.0,€5.8M
Adam Armstrong,1248.0,
Adam Smith,1236.0,€1.5M
Adam Wharton,1088.0,€49.3M
Adama Traoré,1516.0,€8.2M
Alejandro Garnacho,1876.0,€59.2M
Alex Iwobi,2553.0,€31.2M
Alexander Isak,2265.0,€119.4M
Alexis Mac Allister,2381.0,€117M
Alisson,1968.0,€24.5M
Alphonse Areola,1810.0,€11.6M
Amad Diallo,1594.0,€48.6M
Amadou Onana,1254.0,€64.4M
Andreas Pereira,1744.0,€18.9M
Andrew Robertson,2218.0,€20.6M
André,1997.0,€29.4M
André Onana,2790.0,€34.2M
Anthony Elanga,2007.0,€45.6M
Anthony Gordon,2121.0,€52.4M
Antoine Semenyo,2733.0,€45.4M
Antonee Robinson,2809.0,€42.7M
Archie Gray,1346.0,€72.5M
Arijanet Muric,1620.0,€10.4M
Ashley Young,1586.0,€1.3M
Axel Tuanzebe,1355.0,€4.3M
Bart Verbruggen,2700.0,€32M
Ben Davies,901.0,€5.1M
Ben Johnson,1222.0,€12.6M
Bernardo Silva,2131.0,€51.1M
Bernd Leno,2880.0,€16M
Beto,1101.0,€24.4M
Bilal El Khannouss,1748.0,€40.6M
Boubacar Kamara,1202.0,€45.2M
Boubakary Soumaré,1818.0,€15.3M
Brennan Johnson,1969.0,€67M
Bruno Fernandes,2636.0,€61.2M
Bruno Guimarães,2661.0,€82.3M
Bryan Mbeumo,2874.0,€57.6M
Bukayo Saka,1366.0,€113M
Caleb Okoli,1124.0,€16.6M
Callum Hudson-Odoi,2074.0,€25.4M
Calvin Bassey,2624.0,€29.9M
Cameron Archer,1314.0,€18.6M
Cameron Burgess,1215.0,€1.7M
Carlos Baleba,2147.0,€51M
Carlos Soler,1257.0,€23.3M
Casemiro,1271.0,€11.6M
Chris Richards,1428.0,€15.7M
Chris Wood,2434.0,€7.9M
Christian Eriksen,903.0,€3.9M
Christian Nørgaard,2279.0,€10.8M
Christopher Nkunku,921.0,€51.3M
Cody Gakpo,1501.0,€67.7M
Cole Palmer,2652.0,€117.4M
Conor Coady,1174.0,€2.3M
Craig Dawson,971.0,€1.5M
Cristian Romero,1371.0,€60M
Curtis Jones,1414.0,€61.6M
Daichi Kamada,1198.0,€15.1M
Dan Burn,2700.0,€8.4M
Dango Ouattara,1775.0,€28.2M
Daniel Muñoz,2598.0,€28.9M
Danny Welbeck,1686.0,€5.9M
Dara O'Shea,2582.0,€21.8M
Darwin Núñez,1010.0,€59.7M
David Raya,2880.0,€28.7M
Dean Henderson,2790.0,€22.7M
Dean Huijsen,1964.0,€56.3M
Declan Rice,2410.0,€116.4M
Dejan Kulusevski,2170.0,€60.3M
Destiny Udogie,1744.0,€59.4M
Diogo Dalot,2756.0,€37.5M
Diogo Jota,1043.0,€58.6M
Djed Spence,1334.0,€19.2M
Dominic Calvert-Lewin,1574.0,€17.8M
Dominic Solanke,2028.0,€51M
Dominik Szoboszlai,2120.0,€70.5M
Dwight McNeil,1145.0,€27M
Eberechi Eze,2174.0,€62.2M
Ederson,1960.0,€19.5M
Edson Álvarez,1633.0,€36.7M
Elliot Anderson,2227.0,€46.2M
Emerson Palmieri,1851.0,€12.7M
Emile Smith Rowe,1827.0,€40.4M
Emiliano Martínez,2700.0,€23M
Enzo Fernández,2410.0,€74.2M
Erling Haaland,2480.0,€199.6M
Ethan Pinnock,1913.0,€7.6M
Evanilson,1813.0,€26.9M
Ezri Konsa,2396.0,€44.3M
Fabian Schär,2322.0,€7.5M
Facundo Buonanotte,1399.0,€31.1M
Flynn Downes,1611.0,€8.5M
Gabriel Magalhães,2363.0,€66.5M
Gabriel Martinelli,1794.0,€60M
Georginio Rutter,1656.0,€41.2M
Guglielmo Vicario,1800.0,€41.6M
Guido Rodríguez,1018.0,€13.6M
Harry Maguire,1418.0,€13.8M
Harry Winks,1538.0,€11.5M
Harvey Barnes,1172.0,€42.6M
Harvey Barnes,1172.0,€0.6M
Ibrahima Konaté,2140.0,€57.2M
Idrissa Gana Gueye,2537.0,€4.5M
Igor,903.0,
Iliman Ndiaye,2039.0,€24.9M
Illia Zabarnyi,2572.0,€55.1M
Ismaila Sarr,2200.0,€24.9M
Issa Diop,1339.0,€17.9M
Jack Clarke,960.0,€19.4M
Jack Harrison,1747.0,€17.9M
Jack Hinshelwood,1505.0,€9.2M
Jack Stephens,984.0,€1.4M
Jacob Greaves,1665.0,€25.4M
Jacob Murphy,1893.0,€17.9M
Jacob Ramsey,1406.0,€45.7M
Jadon Sancho,1610.0,€36.2M
Jake O'Brien,1121.0,€19.7M
James Garner,1054.0,€23.2M
James Justin,2526.0,€16.4M
James Maddison,1764.0,€57.3M
James Tarkowski,2871.0,€15.5M
Jamie Vardy,2421.0,€1.2M
Jan Bednarek,2171.0,€13M
Jan Paul van Hecke,2509.0,€41.9M
Jannik Vestergaard,1391.0,€2M
Jarrad Branthwaite,2078.0,€32.9M
Jarrod Bowen,2456.0,€48.4M
Jean-Clair Todibo,1305.0,€36.1M
Jean-Philippe Mateta,2302.0,€31.7M
Jean-Ricner Bellegarde,1479.0,€21.3M
Jefferson Lerma,1811.0,€12.8M
Jens Cajuste,1694.0,€15.4M
Jeremy Doku,1277.0,€66.5M
Jesper Lindstrøm,1239.0,€24.4M
Joachim Andersen,2043.0,€32.9M
Joe Aribo,1909.0,€8M
Joelinton,2242.0,€45.7M
John McGinn,1891.0,€21.6M
Jordan Ayew,1310.0,€4.5M
Jordan Pickford,2880.0,€23.8M
Joshua Zirkzee,1402.0,€43.3M
José Sá,2250.0,€8.6M
João Gomes,2511.0,€51.1M
João Pedro,1888.0,€61.3M
Joël Veltman,1643.0,€5.9M
Joško Gvardiol,2737.0,€77.4M
Jurriën Timber,2327.0,€62.7M
Justin Kluivert,1936.0,€44.3M
Jørgen Strand Larsen,2314.0,€30.3M
Kai Havertz,1839.0,€70M
Kalvin Phillips,1214.0,€17.3M
Kamaldeen Sulemana,972.0,€18.5M
Kaoru Mitoma,2467.0,€49.2M
Keane Lewis-Potter,2639.0,€27.3M
Kenny Tete,1271.0,€13.4M
Kepa Arrizabalaga,2250.0,€11.4M
Kevin De Bruyne,1279.0,€20.4M
Kevin Schade,1845.0,€29.7M
Kieran Trippier,949.0,€4.5M
Kobbie Mainoo,1294.0,€54.8M
Konstantinos Mavropanos,1849.0,€19.1M
Kristoffer Ajer,1363.0,€21.5M
Kyle Walker,970.0,
Kyle Walker-Peters,2648.0,€16.6M
Leandro Trossard,2091.0,€31.8M
Leif Davis,2532.0,€28.4M
Leny Yoro,967.0,€66.2M
Leon Bailey,1138.0,€38.6M
Lesley Ugochukwu,1267.0,€27.1M
Levi Colwill,2609.0,€59.8M
Lewis Cook,2662.0,€19.5M
Lewis Dunk,1813.0,€7.1M
Lewis Hall,2189.0,€36.1M
Lewis Hall,2189.0,€2M
Liam Delap,2344.0,€33M
Lisandro Martínez,1751.0,€49.2M
Lucas Bergvall,1112.0,€31.3M
Lucas Digne,2151.0,€14.8M
Lucas Paquetá,2077.0,€73.5M
Luis Díaz,2061.0,€69.3M
Luke Woolfenden,1007.0,€2M
Mads Hermansen,2205.0,€19.2M
Mads Roerslev,1101.0,
Malo Gusto,1776.0,€36.1M
Manuel Akanji,1707.0,€43.7M
Manuel Ugarte Ribeiro,1532.0,€60.3M
Marc Cucurella,2448.0,€39.6M
Marc Guéhi,2609.0,€48.9M
Marc Guéhi,2609.0,€16.7M
Marcos Senesi,1008.0,€20.3M
Marcus Rashford,978.0,€58.6M
Marcus Tavernier,1531.0,€24.4M
Mario Lemina,1364.0,
Mark Flekken,2735.0,€13.9M
Martin Ødegaard,1865.0,€125.8M
Mateo Kovačić,1857.0,€25.3M
Mateus Fernandes,2409.0,€22.5M
Matheus Cunha,2164.0,€62.6M
Matheus Nunes,1224.0,€42.3M
Matt Doherty,1809.0,€4M
Matthijs de Ligt,2089.0,€50.8M
Matty Cash,1560.0,€32.8M
Matz Sels,2880.0,€10.2M
Max Kilman,2808.0,€39.3M
Maxence Lacroix,2486.0,€25.8M
Micky van de Ven,905.0,€62M
Mikel Merino,1345.0,€39.7M
Mikkel Damsgaard,2409.0,€28.6M
Milos Kerkez,2807.0,€61.6M
Mohamed Salah,2831.0,€18.3M
Mohammed Kudus,2167.0,€63M
Moisés Caicedo,2811.0,€82.8M
Morgan Gibbs-White,2288.0,€61.7M
Morgan Rogers,2597.0,€79.6M
Murillo,2748.0,€66M
Myles Lewis-Skelly,959.0,€35.7M
Nathan Collins,2880.0,€30.7M
Neco Williams,2054.0,€22.6M
Nick Pope,1890.0,€11.5M
Nicolas Jackson,1948.0,€66.9M
Nicolás Domínguez,1567.0,€18.8M
Nikola Milenković,2790.0,€40.6M
Noni Madueke,1601.0,€52.3M
Noussair Mazraoui,2475.0,€45.3M
Nélson Semedo,2415.0,€8.3M
Ola Aina,2569.0,€19.3M
Ollie Watkins,2167.0,€63.2M
Omari Hutchinson,2223.0,€27.6M
Orel Mangala,1261.0,€24.4M
Pape Matar Sarr,1511.0,€50.8M
Pau Torres,1639.0,€46.1M
Paul Onuachu,916.0,€12.7M
Pedro Neto,1743.0,€60.4M
Pedro Porro,2373.0,€55.9M
Pervis Estupiñán,1952.0,€35.4M
Phil Foden,1686.0,€99.8M
Radu Drăgușin,1252.0,€28.4M
Rasmus Højlund,1585.0,€60M
Rayan Aït-Nouri,2618.0,€44M
Raúl Jiménez,1961.0,€5.2M
Riccardo Calafiori,925.0,€49.3M
Rico Lewis,1810.0,€62.7M
Robert Sánchez,2340.0,€24.8M
Rodrigo Bentancur,1428.0,€31.4M
Rodrigo Muniz,964.0,€8.4M
Ryan Christie,2117.0,€16.2M
Ryan Gravenberch,2741.0,€85.5M
Ryan Manning,1195.0,€3.8M
Ryan Yates,1742.0,€17.5M
Rúben Dias,1731.0,€74.5M
Sam Morsy,2240.0,€1.3M
Sammie Szmodics,979.0,€14.1M
Sander Berge,1882.0,€27.9M
Sandro Tonali,2000.0,€52.1M
