Player,Team,Played Time,Estimated Value
Aaron Ramsdale,Southampton,2250.0,€18.7M
Aaron Wan-Bissaka,West Ham,2704.0,€29.7M
Abdoulaye Doucouré,Everton,2335.0,€5.8M
Adam Armstrong,Southampton,1248.0,€15.1M
Adam Smith,Bournemouth,1319.0,€1.5M
Adam Wharton,Crystal Palace,1258.0,€49.3M
Adama Traoré,Fulham,1523.0,€8.2M
Alejandro Garnacho,Manchester Utd,1966.0,€59.2M
Alex Iwobi,Fulham,2636.0,€31.2M
Alexander Isak,Newcastle Utd,2411.0,€119.4M
Alexis Mac Allister,Liverpool,2471.0,€117M
Alisson,Liverpool,2058.0,€24.5M
Alphonse Areola,West Ham,1900.0,€11.6M
Amad Diallo,Manchester Utd,1594.0,€48.6M
Amadou Onana,Aston Villa,1348.0,€64.4M
Andreas Pereira,Fulham,1834.0,€18.9M
Andrew Robertson,Liverpool,2218.0,€20.6M
André,Wolves,2087.0,€29.4M
André Onana,Manchester Utd,2880.0,€34.2M
Anthony Elanga,Nott'ham Forest,2052.0,€45.6M
Anthony Gordon,Newcastle Utd,2176.0,€52.4M
Antoine Semenyo,Bournemouth,2823.0,€45.4M
Antonee Robinson,Fulham,2899.0,€42.7M
Archie Gray,Tottenham,1346.0,€72.5M
Arijanet Muric,Ipswich Town,1620.0,€10.4M
Ashley Young,Everton,1586.0,€1.3M
Axel Tuanzebe,Ipswich Town,1445.0,€4.3M
Bart Verbruggen,Brighton,2790.0,€32M
Ben Davies,Tottenham,946.0,€5.1M
Ben Johnson,Ipswich Town,1312.0,€12.6M
Bernardo Silva,Manchester City,2311.0,€51.1M
Bernd Leno,Fulham,2970.0,€16M
Beto,Everton,1129.0,€24.4M
Bilal El Khannouss,Leicester City,1838.0,€40.6M
Boubacar Kamara,Aston Villa,1373.0,€45.2M
Boubakary Soumaré,Leicester City,1908.0,€15.3M
Brennan Johnson,Tottenham,1993.0,€67M
Bruno Fernandes,Manchester Utd,2668.0,€61.2M
Bruno Guimarães,Newcastle Utd,2822.0,€82.3M
Bryan Mbeumo,Brentford,2964.0,€57.6M
Bukayo Saka,Arsenal,1454.0,€113M
Caleb Okoli,Leicester City,1124.0,€16.6M
Callum Hudson-Odoi,Nott'ham Forest,2107.0,€25.4M
Calvin Bassey,Fulham,2714.0,€29.9M
Cameron Archer,Southampton,1336.0,€18.6M
Cameron Burgess,Ipswich Town,1271.0,€1.7M
Carlos Baleba,Brighton,2223.0,€51M
Carlos Soler,West Ham,1347.0,€23.3M
Casemiro,Manchester Utd,1271.0,€11.6M
Chris Richards,Crystal Palace,1562.0,€15.7M
Chris Wood,Nott'ham Forest,2509.0,€7.9M
Christian Eriksen,Manchester Utd,993.0,€3.9M
Christian Nørgaard,Brentford,2369.0,€10.8M
Christopher Nkunku,Chelsea,921.0,€51.3M
Cody Gakpo,Liverpool,1560.0,€67.7M
Cole Palmer,Chelsea,2742.0,€117.4M
Conor Coady,Leicester City,1264.0,€2.3M
Craig Dawson,Wolves,971.0,€1.5M
Cristian Romero,Tottenham,1416.0,€60M
Curtis Jones,Liverpool,1415.0,€61.6M
Daichi Kamada,Crystal Palace,1338.0,€15.1M
Dan Burn,Newcastle Utd,2880.0,€8.4M
Dango Ouattara,Bournemouth,1843.0,€28.2M
Daniel Muñoz,Crystal Palace,2868.0,€28.9M
Danny Welbeck,Brighton,1762.0,€5.9M
Dara O'Shea,Ipswich Town,2672.0,€21.8M
Darwin Núñez,Liverpool,1010.0,€59.7M
David Raya,Arsenal,3060.0,€28.7M
Dean Henderson,Crystal Palace,3060.0,€22.7M
Dean Huijsen,Bournemouth,2054.0,€56.3M
Declan Rice,Arsenal,2572.0,€116.4M
Dejan Kulusevski,Tottenham,2236.0,€60.3M
