Player,Team,Transfer Value
Aaron Ramsdale,Southampton,€18.7M
Aaron Wan-Bissaka,West Ham,€29.7M
Abdoulaye Doucouré,Everton,€5.8M
Adam Smith,Bournemouth,€1.5M
Adam Wharton,Crystal Palace,€49.3M
Adama Traoré,Fulham,€8.2M
Alejandro Garnacho,Manchester Utd,€59.2M
Alex Iwobi,Fulham,€31.2M
Alexander Isak,Newcastle Utd,€119.4M
Alexis Mac Allister,Liverpool,€117M
Alisson,Liverpool,€24.5M
Alphonse Areola,West Ham,€11.6M
Amad Diallo,Manchester Utd,€48.6M
Amadou Onana,Aston Villa,€64.4M
Andreas Pereira,Fulham,€18.9M
Andrew Robertson,Liverpool,€20.6M
André,Wolves,€29.4M
André Onana,Manchester Utd,€34.2M
Anthony Elanga,Nott'ham Forest,€45.6M
Anthony Gordon,Newcastle Utd,€52.4M
Antoine Semenyo,Bournemouth,€45.4M
Antonee Robinson,Fulham,€42.7M
Archie Gray,Tottenham,€72.5M
Arijanet Muric,Ipswich Town,€10.4M
Ashley Young,Everton,€1.3M
Axel Tuanzebe,Ipswich Town,€4.3M
Bart Verbruggen,Brighton,€32M
Ben Davies,Tottenham,€5.1M
Ben Johnson,Ipswich Town,€12.6M
Bernardo Silva,Manchester City,€51.1M
Bernd Leno,Fulham,€16M
Beto,Everton,€24.4M
Bilal El Khannouss,Leicester City,€40.6M
Boubacar Kamara,Aston Villa,€45.2M
Boubakary Soumaré,Leicester City,€15.3M
Brennan Johnson,Tottenham,€67M
Bruno Fernandes,Manchester Utd,€61.2M
Bruno Guimarães,Newcastle Utd,€82.3M
Bryan Mbeumo,Brentford,€57.6M
Bukayo Saka,Arsenal,€113M
Caleb Okoli,Leicester City,€16.6M
Callum Hudson-Odoi,Nott'ham Forest,€25.4M
Calvin Bassey,Fulham,€29.9M
Cameron Archer,Southampton,€18.6M
Cameron Burgess,Ipswich Town,€1.7M
Carlos Baleba,Brighton,€51M
Carlos Soler,West Ham,€23.3M
Casemiro,Manchester Utd,€11.6M
Chris Richards,Crystal Palace,€15.7M
Chris Wood,Nott'ham Forest,€7.9M
Christian Eriksen,Manchester Utd,€3.9M
Christian Nørgaard,Brentford,€10.8M
Christopher Nkunku,Chelsea,€51.3M
Cody Gakpo,Liverpool,€67.7M
Cole Palmer,Chelsea,€117.4M
Conor Coady,Leicester City,€2.3M
Craig Dawson,Wolves,€1.5M
Cristian Romero,Tottenham,€60M
Curtis Jones,Liverpool,€61.6M
Daichi Kamada,Crystal Palace,€15.1M
Dan Burn,Newcastle Utd,€8.4M
Dango Ouattara,Bournemouth,€28.2M
Daniel Muñoz,Crystal Palace,€28.9M
Danny Welbeck,Brighton,€5.9M
Dara O'Shea,Ipswich Town,€21.8M
Darwin Núñez,Liverpool,€59.7M
David Raya,Arsenal,€28.7M
Dean Henderson,Crystal Palace,€22.7M
Dean Huijsen,Bournemouth,€56.3M
Declan Rice,Arsenal,€116.4M
Dejan Kulusevski,Tottenham,€60.3M
Destiny Udogie,Tottenham,€59.4M
Diogo Dalot,Manchester Utd,€37.5M
Diogo Jota,Liverpool,€58.6M
Djed Spence,Tottenham,€19.2M
Dominic Calvert-Lewin,Everton,€17.8M
Dominic Solanke,Tottenham,€51M
Dominik Szoboszlai,Liverpool,€70.5M
Dwight McNeil,Everton,€27M
Eberechi Eze,Crystal Palace,€62.2M
Ederson,Manchester City,€19.5M
Edson Álvarez,West Ham,€36.7M
Elliot Anderson,Nott'ham Forest,€46.2M
Emerson Palmieri,West Ham,€12.7M
Emile Smith Rowe,Fulham,€40.4M
Emiliano Martínez,Aston Villa,€23M
Enzo Fernández,Chelsea,€74.2M
Erling Haaland,Manchester City,€199.6M
Ethan Pinnock,Brentford,€7.6M
Evanilson,Bournemouth,€26.9M
Ezri Konsa,Aston Villa,€44.3M
Fabian Schär,Newcastle Utd,€7.5M
Facundo Buonanotte,Leicester City,€31.1M
Flynn Downes,Southampton,€8.5M
Gabriel Magalhães,Arsenal,€66.5M
Gabriel Martinelli,Arsenal,€60M
Georginio Rutter,Brighton,€41.2M
Guglielmo Vicario,Tottenham,€41.6M
Guido Rodríguez,West Ham,€13.6M
Harry Maguire,Manchester Utd,€13.8M
Harry Winks,Leicester City,€11.5M
Harvey Barnes,Newcastle Utd,€42.6M
Ibrahima Konaté,Liverpool,€57.2M
Idrissa Gana Gueye,Everton,€4.5M
Iliman Ndiaye,Everton,€24.9M
Illia Zabarnyi,Bournemouth,€55.1M
Ismaila Sarr,Crystal Palace,€24.9M
Issa Diop,Fulham,€17.9M
Jack Clarke,Ipswich Town,€19.4M
Jack Harrison,Everton,€17.9M
Jack Hinshelwood,Brighton,€9.2M
Jack Stephens,Southampton,€1.4M
Jacob Greaves,Ipswich Town,€25.4M
Jacob Murphy,Newcastle Utd,€17.9M
Jacob Ramsey,Aston Villa,€45.7M
Jadon Sancho,Chelsea,€36.2M
Jake O'Brien,Everton,€19.7M
James Garner,Everton,€23.2M
James Justin,Leicester City,€16.4M
James Maddison,Tottenham,€57.3M
James Tarkowski,Everton,€15.5M
Jamie Vardy,Leicester City,€1.2M
Jan Bednarek,Southampton,€13M
Jan Paul van Hecke,Brighton,€41.9M
Jannik Vestergaard,Leicester City,€2M
Jarrad Branthwaite,Everton,€32.9M
Jarrod Bowen,West Ham,€48.4M
Jean-Clair Todibo,West Ham,€36.1M
Jean-Philippe Mateta,Crystal Palace,€31.7M
Jean-Ricner Bellegarde,Wolves,€21.3M
Jefferson Lerma,Crystal Palace,€12.8M
Jens Cajuste,Ipswich Town,€15.4M
Jeremy Doku,Manchester City,€66.5M
Jesper Lindstrøm,Everton,€24.4M
Joachim Andersen,Fulham,€32.9M
Joe Aribo,Southampton,€8M
Joelinton,Newcastle Utd,€45.7M
John McGinn,Aston Villa,€21.6M
Jordan Ayew,Leicester City,€4.5M
Jordan Pickford,Everton,€23.8M
Joshua Zirkzee,Manchester Utd,€43.3M
José Sá,Wolves,€8.6M
João Gomes,Wolves,€51.1M
João Pedro,Brighton,€61.3M
Joël Veltman,Brighton,€5.9M
Joško Gvardiol,Manchester City,€77.4M
Jurriën Timber,Arsenal,€62.7M
Justin Kluivert,Bournemouth,€44.3M
Jørgen Strand Larsen,Wolves,€30.3M
Kai Havertz,Arsenal,€70M
Kalvin Phillips,Ipswich Town,€17.3M
Kamaldeen Sulemana,Southampton,€18.5M
Kaoru Mitoma,Brighton,€49.2M
Keane Lewis-Potter,Brentford,€27.3M
Kenny Tete,Fulham,€13.4M
Kepa Arrizabalaga,Bournemouth,€11.4M
Kevin De Bruyne,Manchester City,€20.4M
Kevin Schade,Brentford,€29.7M
Kieran Trippier,Newcastle Utd,€4.5M
Kobbie Mainoo,Manchester Utd,€54.8M
Konstantinos Mavropanos,West Ham,€19.1M
Kristoffer Ajer,Brentford,€21.5M
Kyle Walker-Peters,Southampton,€16.6M
Leandro Trossard,Arsenal,€31.8M
Leif Davis,Ipswich Town,€28.4M
Leny Yoro,Manchester Utd,€66.2M
Leon Bailey,Aston Villa,€38.6M
Lesley Ugochukwu,Southampton,€27.1M
Levi Colwill,Chelsea,€59.8M
Lewis Cook,Bournemouth,€19.5M
Lewis Dunk,Brighton,€7.1M
Lewis Hall,Newcastle Utd,€36.1M
Liam Delap,Ipswich Town,€33M
Lisandro Martínez,Manchester Utd,€49.2M
Lucas Bergvall,Tottenham,€31.3M
Lucas Digne,Aston Villa,€14.8M
Lucas Paquetá,West Ham,€73.5M
Luis Díaz,Liverpool,€69.3M
Luke Woolfenden,Ipswich Town,€2M
Mads Hermansen,Leicester City,€19.2M
Malo Gusto,Chelsea,€36.1M
Manuel Akanji,Manchester City,€43.7M
Manuel Ugarte Ribeiro,Manchester Utd,€60.3M
Marc Cucurella,Chelsea,€39.6M
Marc Guéhi,Crystal Palace,€48.9M
Marcos Senesi,Bournemouth,€20.3M
Marcus Rashford,Manchester Utd,€58.6M
Marcus Tavernier,Bournemouth,€24.4M
Mark Flekken,Brentford,€13.9M
Martin Ødegaard,Arsenal,€125.8M
Mateo Kovačić,Manchester City,€25.3M
Mateus Fernandes,Southampton,€22.5M
Matheus Cunha,Wolves,€62.6M
Matheus Nunes,Manchester City,€42.3M
Matt Doherty,Wolves,€4M
Matthijs de Ligt,Manchester Utd,€50.8M
Matty Cash,Aston Villa,€32.8M
Matz Sels,Nott'ham Forest,€10.2M
Max Kilman,West Ham,€39.3M
Maxence Lacroix,Crystal Palace,€25.8M
Micky van de Ven,Tottenham,€62M
Mikel Merino,Arsenal,€39.7M
Mikkel Damsgaard,Brentford,€28.6M
Milos Kerkez,Bournemouth,€61.6M
Mohamed Salah,Liverpool,€18.3M
Mohammed Kudus,West Ham,€63M
Moisés Caicedo,Chelsea,€82.8M
Morgan Gibbs-White,Nott'ham Forest,€61.7M
Morgan Rogers,Aston Villa,€79.6M
Murillo,Nott'ham Forest,€66M
Myles Lewis-Skelly,Arsenal,€35.7M
Nathan Collins,Brentford,€30.7M
Neco Williams,Nott'ham Forest,€22.6M
Nick Pope,Newcastle Utd,€11.5M
Nicolas Jackson,Chelsea,€66.9M
Nicolás Domínguez,Nott'ham Forest,€18.8M
Nikola Milenković,Nott'ham Forest,€40.6M
Noni Madueke,Chelsea,€52.3M
Noussair Mazraoui,Manchester Utd,€45.3M
Nélson Semedo,Wolves,€8.3M
Ola Aina,Nott'ham Forest,€19.3M
Ollie Watkins,Aston Villa,€63.2M
Omari Hutchinson,Ipswich Town,€27.6M
Orel Mangala,Everton,€24.4M
Pape Matar Sarr,Tottenham,€50.8M
Pau Torres,Aston Villa,€46.1M
Paul Onuachu,Southampton,€12.7M
Pedro Neto,Chelsea,€60.4M
Pedro Porro,Tottenham,€55.9M
Pervis Estupiñán,Brighton,€35.4M
Phil Foden,Manchester City,€99.8M
Radu Drăgușin,Tottenham,€28.4M
Rasmus Højlund,Manchester Utd,€60M
Rayan Aït-Nouri,Wolves,€44M
Raúl Jiménez,Fulham,€5.2M
Riccardo Calafiori,Arsenal,€49.3M
Rico Lewis,Manchester City,€62.7M
Robert Sánchez,Chelsea,€24.8M
Rodrigo Bentancur,Tottenham,€31.4M
Rodrigo Muniz,Fulham,€8.4M
Ryan Christie,Bournemouth,€16.2M
Ryan Gravenberch,Liverpool,€85.5M
Ryan Manning,Southampton,€3.8M
Ryan Yates,Nott'ham Forest,€17.5M
Rúben Dias,Manchester City,€74.5M
Sam Morsy,Ipswich Town,€1.3M
Sammie Szmodics,Ipswich Town,€14.1M
Sander Berge,Fulham,€27.9M
Sandro Tonali,Newcastle Utd,€52.1M
Santiago Bueno,Wolves,€11.3M
Saša Lukić,Fulham,€12.1M
Sepp van den Berg,Brentford,€26.4M
Son Heung-min,Tottenham,€28.6M
Stefan Ortega,Manchester City,€5.8M
Stephy Mavididi,Leicester City,€13.2M
Sávio,Manchester City,€74.8M
Taylor Harwood-Bellis,Southampton,€29.9M
Thomas Partey,Arsenal,€14.7M
Timothy Castagne,Fulham,€16.8M
Tomáš Souček,West Ham,€25.6M
Tosin Adarabioyo,Chelsea,€24.8M
Toti Gomes,Wolves,€18.6M
Trent Alexander-Arnold,Liverpool,€55.4M
Trevoh Chalobah,Crystal Palace,€20.2M
Tyler Adams,Bournemouth,€24.5M
Tyler Dibling,Southampton,€32M
Tyrick Mitchell,Crystal Palace,€25.1M
Tyrone Mings,Aston Villa,€5.7M
Valentino Livramento,Newcastle Utd,€48.4M
Victor Bernth Kristiansen,Leicester City,€23.9M
Virgil van Dijk,Liverpool,€16.6M
Vitaliy Mykolenko,Everton,€33.5M
Vitaly Janelt,Brentford,€22.2M
Wes Burns,Ipswich Town,€2.1M
Wesley Fofana,Chelsea,€30.4M
Wilfred Ndidi,Leicester City,€20.4M
Will Hughes,Crystal Palace,€7.3M
William Saliba,Arsenal,€79.5M
Wout Faes,Leicester City,€25.3M
Yankuba Minteh,Brighton,€42.6M
Yasin Ayari,Brighton,€21.5M
Yehor Yarmoliuk,Brentford,€18M
Yoane Wissa,Brentford,€31.4M
Youri Tielemans,Aston Villa,€43.3M
Yukinari Sugawara,Southampton,€15.8M
Yves Bissouma,Tottenham,€30M
Álex Moreno,Nott'ham Forest,€11.2M
İlkay Gündoğan,Manchester City,€11M
Łukasz Fabiański,West Ham,€0.9M
Kyle Walker, Milan,€4.9M
Adam Armstrong, West Bromwich,€15.1M
Mario Lemina, Galatasaray,€5.2M
Igor Júlio, Brighton,€25M
Mads Roerslev, VfL Wolfsburg,€8.4M
