Player,Standard_Nation,Standard_Pos,Standard_Squad,Standard_Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP
Aaron Cresswell,engENG,DF,West Ham,35-110,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches
Aaron Ramsdale,engENG,GK,Southampton,26-325,1998,22,22,"1,980",22.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,engENG,DF,West Ham,27-129,1997,29,28,"2,524",28.0,2,2,4,2,0,0,1,0,1.0,1.0,2.5,3.5,90,112,123,0.07,0.07,0.14,0.07,0.14,0.04,0.09,0.12,0.04,0.12,Matches
Abdoulaye Doucouré,mlMLI,MF,Everton,32-093,1993,26,25,"2,065",22.9,2,1,3,2,0,0,4,1,3.2,3.2,2.0,5.2,34,66,77,0.09,0.04,0.13,0.09,0.13,0.14,0.09,0.23,0.14,0.23,Matches
Abdukodir Khusanov,uzUZB,DF,Manchester City,21-034,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-027,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
Adam Armstrong,engENG,"FW,MF",Southampton,28-053,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Adam Lallana,engENG,MF,Southampton,36-329,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
Adam Smith,engENG,DF,Bournemouth,33-340,1991,18,13,"1,080",12.0,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.7,10,32,17,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Adam Webster,engENG,DF,Brighton,30-090,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
Adam Wharton,engENG,MF,Crystal Palace,20-306,2004,14,11,928,10.3,0,0,0,0,0,0,2,0,0.3,0.3,2.0,2.2,10,94,10,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.22,0.03,0.22,Matches
Adama Traoré,esESP,"FW,MF",Fulham,29-069,1996,28,16,"1,473",16.4,2,5,7,2,0,0,2,0,3.8,3.8,4.1,7.8,80,55,135,0.12,0.31,0.43,0.12,0.43,0.23,0.25,0.48,0.23,0.48,Matches
Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-316,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-277,2004,29,18,"1,732",19.2,4,1,5,4,0,0,2,0,6.0,6.0,2.8,8.8,108,45,234,0.21,0.05,0.26,0.21,0.26,0.31,0.14,0.46,0.31,0.46,Matches
Alex Iwobi,ngNGA,"FW,MF",Fulham,28-336,1996,30,28,"2,382",26.5,7,4,11,7,0,0,1,0,3.9,3.9,6.1,10.0,113,168,199,0.26,0.15,0.42,0.26,0.42,0.15,0.23,0.38,0.15,0.38,Matches
Alex McCarthy,engENG,GK,Southampton,35-122,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Palmer,engENG,GK,Ipswich Town,28-237,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
