,,Median of Age,Mean of Age,Std of Age,Median of Standard_MP,Mean of Standard_MP,Std of Standard_MP,Median of Standard_Starts,Mean of Standard_Starts,Std of Standard_Starts,Median of Standard_Min,Mean of Standard_Min,Std of Standard_Min,Median of Standard_Gls,Mean of Standard_Gls,Std of Standard_Gls,Median of Standard_Ast,Mean of Standard_Ast,Std of Standard_Ast,Median of Standard_CrdY,Mean of Standard_CrdY,Std of Standard_CrdY,Median of Standard_CrdR,Mean of Standard_CrdR,Std of Standard_CrdR,Median of Standard_xG,Mean of Standard_xG,Std of Standard_xG,Median of Standard_xAG,Mean of Standard_xAG,Std of Standard_xAG,Median of Standard_PrgC,Mean of Standard_PrgC,Std of Standard_PrgC,Median of Standard_PrgP,Mean of Standard_PrgP,Std of Standard_PrgP,Median of Standard_PrgR,Mean of Standard_PrgR,Std of Standard_PrgR,Median of Standard_Gls/90,Mean of Standard_Gls/90,Std of Standard_Gls/90,Median of Standard_Ast/90,Mean of Standard_Ast/90,Std of Standard_Ast/90,Median of Standard_xG/90,Mean of Standard_xG/90,Std of Standard_xG/90,Median of Standard_xAG/90,Mean of Standard_xAG/90,Std of Standard_xAG/90,Median of Goalkeeping_GA90,Mean of Goalkeeping_GA90,Std of Goalkeeping_GA90,Median of Goalkeeping_Save%,Mean of Goalkeeping_Save%,Std of Goalkeeping_Save%,Median of Goalkeeping_CS%,Mean of Goalkeeping_CS%,Std of Goalkeeping_CS%,Median of Goalkeeping_Penalty_Save%,Mean of Goalkeeping_Penalty_Save%,Std of Goalkeeping_Penalty_Save%,Median of Shooting_SoT%,Mean of Shooting_SoT%,Std of Shooting_SoT%,Median of Shooting_SoT/90,Mean of Shooting_SoT/90,Std of Shooting_SoT/90,Median of Shooting_G/Sh,Mean of Shooting_G/Sh,Std of Shooting_G/Sh,Median of Shooting_Dist,Mean of Shooting_Dist,Std of Shooting_Dist,Median of Passing_Cmp,Mean of Passing_Cmp,Std of Passing_Cmp,Median of Passing_Total_Cmp%,Mean of Passing_Total_Cmp%,Std of Passing_Total_Cmp%,Median of Passing_TotDist,Mean of Passing_TotDist,Std of Passing_TotDist,Median of Passing_Short_Cmp%,Mean of Passing_Short_Cmp%,Std of Passing_Short_Cmp%,Median of Passing_Medium_Cmp%,Mean of Passing_Medium_Cmp%,Std of Passing_Medium_Cmp%,Median of Passing_Long_Cmp%,Mean of Passing_Long_Cmp%,Std of Passing_Long_Cmp%,Median of Passing_KP,Mean of Passing_KP,Std of Passing_KP,Median of Passing_1/3,Mean of Passing_1/3,Std of Passing_1/3,Median of Passing_PPA,Mean of Passing_PPA,Std of Passing_PPA,Median of Passing_CrsPA,Mean of Passing_CrsPA,Std of Passing_CrsPA,Median of Passing_PrgP,Mean of Passing_PrgP,Std of Passing_PrgP,Median of GCA_SCA,Mean of GCA_SCA,Std of GCA_SCA,Median of GCA_SCA90,Mean of GCA_SCA90,Std of GCA_SCA90,Median of GCA_GCA,Mean of GCA_GCA,Std of GCA_GCA,Median of GCA_GCA90,Mean of GCA_GCA90,Std of GCA_GCA90,Median of Defense_Tkl,Mean of Defense_Tkl,Std of Defense_Tkl,Median of Defense_TklW,Mean of Defense_TklW,Std of Defense_TklW,Median of Defense_Att,Mean of Defense_Att,Std of Defense_Att,Median of Defense_Lost,Mean of Defense_Lost,Std of Defense_Lost,Median of Defense_Blocks,Mean of Defense_Blocks,Std of Defense_Blocks,Median of Defense_Sh,Mean of Defense_Sh,Std of Defense_Sh,Median of Defense_Pass,Mean of Defense_Pass,Std of Defense_Pass,Median of Defense_Int,Mean of Defense_Int,Std of Defense_Int,Median of Possession_Touches,Mean of Possession_Touches,Std of Possession_Touches,Median of Possession_Def Pen,Mean of Possession_Def Pen,Std of Possession_Def Pen,Median of Possession_Def 3rd,Mean of Possession_Def 3rd,Std of Possession_Def 3rd,Median of Possession_Mid 3rd,Mean of Possession_Mid 3rd,Std of Possession_Mid 3rd,Median of Possession_Att 3rd,Mean of Possession_Att 3rd,Std of Possession_Att 3rd,Median of Possession_Att Pen,Mean of Possession_Att Pen,Std of Possession_Att Pen,Median of Possession_Att,Mean of Possession_Att,Std of Possession_Att,Median of Possession_Succ%,Mean of Possession_Succ%,Std of Possession_Succ%,Median of Possession_Tkld%,Mean of Possession_Tkld%,Std of Possession_Tkld%,Median of Possession_Carries,Mean of Possession_Carries,Std of Possession_Carries,Median of Possession_PrgDist,Mean of Possession_PrgDist,Std of Possession_PrgDist,Median of Possession_PrgC,Mean of Possession_PrgC,Std of Possession_PrgC,Median of Possession_1/3,Mean of Possession_1/3,Std of Possession_1/3,Median of Possession_CPA,Mean of Possession_CPA,Std of Possession_CPA,Median of Possession_Mis,Mean of Possession_Mis,Std of Possession_Mis,Median of Possession_Dis,Mean of Possession_Dis,Std of Possession_Dis,Median of Possession_Rec,Mean of Possession_Rec,Std of Possession_Rec,Median of Possession_PrgR,Mean of Possession_PrgR,Std of Possession_PrgR,Median of Misc_Fls,Mean of Misc_Fls,Std of Misc_Fls,Median of Misc_Fld,Mean of Misc_Fld,Std of Misc_Fld,Median of Misc_Off,Mean of Misc_Off,Std of Misc_Off,Median of Misc_Crs,Mean of Misc_Crs,Std of Misc_Crs,Median of Misc_Recov,Mean of Misc_Recov,Std of Misc_Recov,Median of Misc_Won,Mean of Misc_Won,Std of Misc_Won,Median of Misc_Lost,Mean of Misc_Lost,Std of Misc_Lost,Median of Misc_Won%,Mean of Misc_Won%,Std of Misc_Won%
0,all,26.52,26.89,4.21,21.0,19.6,9.03,14.0,14.43,10.0,1233.0,1293.65,844.39,1.0,1.89,3.32,1.0,1.39,2.1,2.0,2.77,2.43,0.0,0.08,0.3,0.8,1.92,2.93,0.7,1.42,1.76,13.0,24.54,28.76,35.5,48.48,46.23,22.0,47.84,60.04,0.03,0.12,0.19,0.04,0.09,0.12,0.07,0.14,0.16,0.07,0.1,0.1,1.5,1.64,0.65,68.5,67.32,8.29,20.0,23.68,22.6,0.0,16.74,29.48,30.0,29.69,20.37,0.23,0.41,0.49,0.06,0.08,0.11,16.4,16.7,5.04,425.0,519.59,425.15,79.95,79.32,8.22,6910.5,8925.34,7684.78,89.65,88.72,6.72,85.7,84.08,10.07,53.85,54.38,16.36,8.0,12.83,14.34,27.0,40.69,41.65,6.0,10.87,13.27,1.0,2.56,3.98,35.5,48.48,46.23,19.0,30.03,30.06,1.8,2.08,1.43,2.0,3.27,3.92,0.15,0.21,0.22,16.5,23.32,21.21,10.0,13.91,13.03,16.5,21.23,19.13,8.0,10.42,9.76,11.0,14.36,12.88,2.0,4.84,6.9,7.0,9.52,8.79,7.0,10.64,11.13,676.0,786.25,575.92,31.0,88.78,163.21,147.5,260.68,285.72,259.0,334.3,291.61,126.5,199.07,196.15,19.0,32.49,38.48,13.0,24.11,29.44,44.8,46.7,23.02,44.3,42.11,21.89,372.0,440.59,331.37,942.5,1221.4,1009.21,13.0,24.54,28.76,12.0,16.51,17.1,2.0,7.71,13.46,11.0,17.8,18.11,7.0,12.5,13.97,443.0,514.17,388.39,22.0,47.84,60.04,11.0,14.56,12.93,10.0,14.12,13.72,1.0,2.26,3.74,8.0,22.82,33.29,42.5,54.94,43.42,9.0,17.05,19.83,12.0,17.03,17.3,50.0,48.81,21.51
1,Arsenal,26.82,26.44,3.82,21.5,21.27,7.77,15.0,16.0,9.78,1355.5,1429.77,849.38,2.0,2.5,2.56,1.0,2.0,2.53,2.5,2.86,1.88,0.0,0.23,0.53,1.65,2.33,2.42,0.85,1.77,2.01,21.0,32.05,29.67,53.0,69.5,56.29,50.0,68.5,69.64,0.1,0.15,0.16,0.08,0.13,0.17,0.1,0.15,0.14,0.08,0.12,0.12,0.84,0.84,N/a,76.5,76.5,N/a,34.4,34.4,N/a,0.0,0.0,N/a,30.4,29.26,23.61,0.23,0.4,0.41,0.1,0.15,0.22,15.0,14.63,5.15,419.0,637.45,513.92,82.25,81.7,6.33,6499.5,10446.77,9095.22,91.15,90.5,5.03,85.9,84.41,8.28,52.0,54.95,10.08,10.0,15.82,15.81,34.5,52.32,49.33,9.0,16.27,15.92,1.5,2.86,3.62,53.0,69.5,56.29,23.0,35.95,30.34,2.25,2.41,1.39,3.0,4.41,5.06,0.24,0.28,0.3,18.5,23.05,19.82,11.5,13.5,12.05,20.0,19.73,14.0,10.5,9.77,6.87,10.0,12.45,10.5,1.5,4.0,6.59,7.5,8.45,6.83,6.0,8.82,8.26,724.0,906.36,625.93,23.0,69.73,155.32,113.5,230.64,306.33,265.5,391.82,357.77,223.5,290.91,215.69,34.5,48.41,44.48,22.0,28.86,28.15,44.55,48.81,21.6,34.3,36.36,16.34,378.5,526.95,374.48,1155.5,1486.45,1016.7,21.0,32.05,29.67,17.0,19.64,15.98,4.0,10.86,13.54,15.0,18.36,14.54,12.5,14.73,12.63,500.5,630.91,449.48,50.0,68.5,69.64,14.0,16.14,10.77,16.5,15.59,11.45,1.5,3.32,3.71,11.0,30.45,40.8,46.5,54.68,37.46,10.0,19.0,19.54,15.5,18.18,17.48,52.5,48.46,19.61
2,Aston Villa,27.58,27.08,4.04,19.5,17.71,9.46,9.0,12.57,10.69,895.5,1129.29,858.01,0.5,1.71,3.15,0.0,1.36,2.09,2.0,2.29,2.16,0.0,0.07,0.26,0.8,1.78,2.84,0.4,1.3,1.83,16.0,22.0,21.79,33.0,40.75,43.39,18.5,40.39,48.38,0.02,0.17,0.3,0.0,0.09,0.13,0.08,0.19,0.24,0.06,0.09,0.11,1.7,1.7,0.42,60.7,60.7,7.21,58.05,58.05,59.33,50.0,50.0,N/a,26.7,29.53,22.68,0.16,0.46,0.67,0.04,0.08,0.09,16.6,16.97,4.66,382.5,454.14,391.34,82.15,81.26,7.22,5419.5,7744.11,7242.59,91.35,90.01,5.62,86.3,86.41,7.78,53.55,53.97,15.24,6.0,10.89,13.74,20.5,35.04,42.61,7.0,9.68,11.62,0.0,1.79,3.51,33.0,40.75,43.39,17.5,26.04,26.94,1.82,2.12,1.46,2.0,3.14,3.43,0.19,0.24,0.23,10.0,19.75,19.11,6.0,11.18,11.26,10.0,16.54,17.52,4.5,7.11,7.47,8.0,10.04,8.44,2.0,3.32,4.06,5.5,6.71,5.84,5.0,7.57,8.0,630.5,666.25,525.56,27.0,78.5,172.07,125.5,222.04,272.59,226.0,285.57,275.22,112.0,165.18,158.72,17.0,29.07,35.3,16.0,22.61,28.09,50.0,50.74,25.03,42.1,38.92,22.85,350.5,378.68,291.83,994.0,1099.0,863.55,16.0,22.0,21.79,12.5,14.11,12.45,2.0,6.61,9.97,7.0,15.21,19.12,7.0,11.75,14.34,435.0,445.75,354.32,18.5,40.39,48.38,8.0,12.64,12.92,8.5,15.07,16.21,1.0,1.71,2.46,4.5,18.57,32.85,36.5,42.89,33.63,8.0,11.25,10.92,8.0,12.68,13.01,50.0,41.26,23.52
3,Bournemouth,25.94,26.41,3.84,22.0,19.78,8.89,14.0,14.78,10.48,1380.0,1323.65,888.29,1.0,2.17,3.34,1.0,1.61,2.02,3.0,3.3,2.85,0.0,0.04,0.21,1.0,2.53,3.36,1.1,1.68,1.75,18.0,26.7,31.38,36.0,52.65,47.65,22.0,51.87,65.52,0.03,0.14,0.19,0.05,0.11,0.12,0.08,0.19,0.21,0.09,0.13,0.15,1.0,1.12,0.21,80.0,79.33,5.63,20.0,13.6,11.78,0.0,0.0,N/a,30.85,25.24,17.69,0.17,0.56,0.67,0.06,0.06,0.06,15.8,15.4,4.72,344.0,444.43,360.6,73.3,73.81,6.8,5606.0,8110.57,6973.02,87.8,86.7,7.34,79.8,81.38,10.82,46.6,47.42,19.18,10.0,16.26,15.59,33.0,44.09,43.63,6.0,12.09,12.56,2.0,3.52,4.85,36.0,52.65,47.65,26.0,37.39,34.0,2.35,2.62,1.92,2.0,3.74,3.92,0.23,0.24,0.21,20.0,25.96,21.72,9.0,15.09,13.73,21.0,23.3,19.75,12.0,12.26,9.92,12.0,16.57,15.23,2.0,4.74,6.5,8.0,11.83,11.48,8.0,13.09,14.47,749.0,755.57,556.56,36.0,78.35,130.22,131.0,227.22,246.22,255.0,323.3,287.93,99.0,214.65,216.85,19.0,36.7,45.04,14.0,24.7,29.35,41.15,42.5,19.69,46.6,43.74,19.47,407.0,407.0,303.49,936.0,1256.78,1113.88,18.0,26.7,31.38,14.0,17.87,18.09,1.0,8.61,15.25,17.0,21.22,19.31,7.0,12.7,15.41,378.0,439.91,325.94,22.0,51.87,65.52,14.0,18.43,16.78,9.0,13.87,12.41,0.0,2.52,4.62,10.0,29.65,37.11,52.0,66.61,53.89,20.0,20.35,18.78,22.0,22.3,18.46,44.4,49.03,18.02
4,Brentford,25.23,26.41,3.81,25.0,22.35,10.13,20.5,17.6,12.0,1879.0,1573.35,1008.55,0.5,2.6,4.75,1.0,1.65,2.37,2.0,2.25,1.55,0.0,0.05,0.22,0.95,2.43,3.71,1.2,1.74,2.12,12.0,25.15,30.86,51.0,57.05,50.37,30.5,56.0,72.29,0.02,0.11,0.18,0.06,0.08,0.09,0.06,0.12,0.16,0.08,0.09,0.08,1.38,1.38,0.19,62.0,62.0,16.97,58.05,58.05,59.33,0.0,0.0,N/a,33.3,32.41,16.38,0.18,0.32,0.36,0.06,0.08,0.08,15.1,15.92,4.26,450.0,562.4,408.06,77.35,76.94,7.93,7380.0,10275.2,8649.45,87.15,86.97,7.75,82.45,82.44,9.95,55.25,55.55,13.97,8.0,13.5,15.9,42.0,46.35,36.85,7.0,13.65,17.4,2.0,3.7,5.04,51.0,57.05,50.37,21.0,32.3,32.81,1.66,1.81,1.16,2.0,4.4,5.08,0.2,0.23,0.22,27.0,26.0,21.3,17.5,15.55,12.38,24.0,24.4,19.43,10.5,11.6,9.75,19.0,20.75,18.02,3.5,8.45,12.12,12.5,12.3,9.52,8.5,12.35,11.45,758.5,902.95,607.57,47.0,141.55,272.45,221.5,354.4,394.5,324.0,334.55,251.69,153.0,222.2,215.99,27.5,41.0,42.3,13.0,25.85,31.31,47.5,47.84,19.62,42.9,42.41,16.16,415.5,476.15,325.59,1181.0,1320.4,1045.88,12.0,25.15,30.86,9.5,15.55,18.24,1.0,8.85,16.7,14.0,21.7,23.52,8.0,12.4,12.76,508.0,554.3,370.76,30.5,56.0,72.29,10.5,12.65,9.98,10.0,14.35,12.94,1.0,3.05,4.42,12.5,28.2,41.76,55.0,68.65,51.82,15.5,26.6,28.91,17.5,23.6,22.5,55.6,54.58,19.84
5,Brighton,24.39,25.8,5.18,19.0,18.3,9.06,9.0,13.04,9.28,903.0,1167.7,813.54,1.0,1.81,2.75,1.0,1.15,1.56,2.0,2.48,2.44,0.0,0.07,0.27,0.7,1.85,2.53,0.8,1.24,1.39,16.0,25.0,29.22,36.0,47.63,46.54,27.0,46.96,61.18,0.05,0.13,0.15,0.04,0.08,0.1,0.09,0.13,0.13,0.09,0.1,0.07,1.05,1.05,0.78,69.85,69.85,7.28,35.0,35.0,21.21,0.0,0.0,N/a,29.2,30.58,21.17,0.3,0.47,0.66,0.06,0.08,0.09,16.1,17.31,3.76,314.0,490.44,450.31,80.8,80.0,7.79,4884.0,8379.59,8669.24,91.8,89.69,6.43,82.4,82.38,9.41,52.4,54.58,16.15,9.0,11.33,9.72,22.0,36.63,45.34,8.0,10.48,10.2,1.0,2.67,3.8,36.0,47.63,46.54,22.0,28.63,22.72,2.59,2.44,1.21,3.0,3.19,2.88,0.22,0.24,0.21,16.0,21.15,18.0,10.0,12.7,10.77,17.0,21.33,17.45,9.0,11.15,8.65,12.0,13.59,11.51,2.0,3.85,5.14,9.0,9.74,9.47,8.0,9.85,9.17,569.0,734.3,572.68,25.0,81.56,183.11,114.0,236.89,304.91,246.0,320.85,300.7,137.0,184.93,170.66,17.0,32.7,40.35,12.0,25.89,30.98,42.5,45.53,21.53,47.15,45.95,20.4,334.0,427.11,357.03,950.0,1295.22,1363.28,16.0,25.0,29.22,16.0,17.41,17.42,2.0,7.67,14.12,10.0,17.93,18.45,7.0,11.19,11.69,384.0,484.56,394.5,27.0,46.96,61.18,9.0,13.85,11.75,8.0,13.26,14.44,1.0,1.3,1.79,9.0,20.44,25.5,40.0,50.93,40.6,13.0,16.52,16.9,12.0,14.56,13.87,54.15,51.52,19.94
6,Chelsea,24.27,24.34,2.2,19.0,18.52,10.12,13.0,14.08,10.48,1172.0,1260.32,917.43,1.0,2.16,3.44,1.0,1.64,2.08,3.0,3.6,3.07,0.0,0.04,0.2,0.7,2.46,4.0,1.1,1.88,2.29,12.0,29.16,36.54,32.0,54.88,58.46,11.0,53.56,70.26,0.03,0.12,0.15,0.06,0.11,0.11,0.08,0.16,0.19,0.09,0.14,0.14,1.32,1.32,0.25,74.1,74.1,3.82,21.8,21.8,7.21,10.0,10.0,14.14,28.9,28.8,22.01,0.25,0.44,0.49,0.06,0.08,0.11,14.85,15.07,4.57,420.0,622.24,540.16,84.9,84.15,6.63,7109.0,10755.88,9693.8,92.2,91.02,5.79,91.2,88.69,7.43,58.8,59.82,13.77,6.0,16.08,20.36,26.0,51.84,54.7,5.0,12.16,15.81,0.0,2.56,4.87,32.0,54.88,58.46,15.0,37.32,44.27,1.74,2.23,1.62,2.0,3.8,4.21,0.18,0.23,0.21,12.0,19.44,21.9,8.0,12.24,13.42,12.0,18.48,20.63,6.0,9.32,10.98,9.0,11.96,12.38,1.0,3.52,5.21,6.0,8.44,9.12,7.0,9.2,10.16,703.0,863.2,699.48,19.0,80.12,165.81,120.0,259.0,306.66,239.0,387.84,381.28,118.0,223.28,241.41,12.0,38.88,48.11,13.0,26.36,31.26,40.5,44.63,19.38,40.8,39.25,23.75,360.0,498.44,383.06,1204.0,1408.28,1073.81,12.0,29.16,36.54,11.0,16.88,18.07,1.0,10.68,19.48,6.0,15.32,17.32,5.0,10.32,10.92,442.0,617.0,493.74,11.0,53.56,70.26,8.0,14.8,14.83,11.0,15.16,15.56,1.0,2.12,3.77,3.0,22.44,37.23,38.0,52.36,46.1,8.0,13.68,15.86,9.0,13.52,13.71,43.25,48.33,24.54
7,Crystal Palace,27.13,27.12,3.13,26.0,21.29,9.01,16.0,16.14,11.35,1428.0,1447.9,951.93,0.0,1.76,3.16,1.0,1.48,2.09,2.0,3.05,2.91,0.0,0.14,0.36,1.0,2.24,3.11,1.1,1.74,1.98,11.0,19.19,20.23,44.0,45.71,35.98,10.0,45.43,58.87,0.0,0.09,0.14,0.04,0.07,0.09,0.08,0.14,0.14,0.12,0.11,0.08,1.29,1.29,N/a,68.5,68.5,N/a,29.0,29.0,N/a,50.0,50.0,N/a,35.5,31.13,18.61,0.35,0.51,0.47,0.0,0.06,0.09,17.7,18.3,5.63,452.0,469.05,352.4,75.7,74.22,6.96,7210.0,8438.81,6883.69,85.4,84.41,6.45,81.8,80.0,10.53,46.7,49.68,18.3,9.0,14.57,14.82,27.0,34.95,28.89,4.0,10.29,10.78,1.0,2.57,3.64,44.0,45.71,35.98,24.0,33.67,31.69,2.03,2.25,1.53,3.0,3.38,3.14,0.17,0.18,0.17,21.0,30.9,27.03,12.0,18.29,17.02,23.0,26.62,19.85,13.0,13.38,9.19,17.0,18.71,15.98,2.0,5.38,6.32,11.0,13.33,11.46,10.0,12.71,12.91,729.0,798.19,554.39,24.0,99.95,196.89,162.0,300.19,332.8,342.0,332.43,242.1,114.0,173.24,166.02,14.0,29.62,32.25,11.0,19.38,27.64,41.25,41.54,23.68,46.75,48.02,26.23,358.0,397.86,279.74,828.0,970.86,710.02,11.0,19.19,20.23,9.0,13.62,12.52,1.0,4.95,7.02,13.0,18.95,18.64,12.0,13.57,13.26,473.0,464.81,315.85,10.0,45.43,58.87,10.0,16.0,14.55,18.0,16.19,13.97,1.0,3.0,4.74,7.0,23.24,29.28,57.0,66.14,49.03,14.0,20.33,20.26,19.0,25.67,23.5,42.9,40.92,19.07
8,Everton,26.48,27.92,5.03,23.0,20.36,8.89,14.5,15.95,10.01,1250.0,1431.5,851.88,1.0,1.41,1.97,1.0,0.91,1.11,3.0,3.05,2.01,0.0,0.09,0.29,0.85,1.61,1.93,0.95,1.24,1.08,11.0,18.45,18.87,32.5,39.23,32.64,23.0,38.5,38.2,0.04,0.1,0.13,0.04,0.06,0.08,0.06,0.12,0.13,0.06,0.08,0.08,1.19,1.19,N/a,71.0,71.0,N/a,31.3,31.3,N/a,100.0,100.0,N/a,33.3,32.2,23.33,0.28,0.38,0.4,0.06,0.08,0.11,17.2,17.31,5.33,367.0,423.82,310.61,73.7,74.3,7.91,6518.0,8010.64,7157.08,86.25,85.57,7.64,80.95,79.45,12.3,54.4,56.66,15.6,8.5,11.73,9.67,32.5,38.09,32.3,8.0,9.95,9.35,1.0,3.27,4.64,32.5,39.23,32.64,24.5,27.5,18.78,1.84,1.95,1.16,2.0,2.36,2.06,0.11,0.17,0.16,22.5,28.41,26.88,12.5,16.55,16.24,18.5,24.55,21.26,7.0,11.55,10.61,11.5,15.18,14.04,3.0,5.59,9.17,7.5,9.59,8.15,8.5,12.64,12.05,623.0,733.68,476.26,29.5,93.64,200.84,144.0,264.91,332.64,269.0,292.86,215.36,166.5,183.95,133.92,18.0,27.77,24.38,16.0,25.09,28.55,48.6,47.27,19.99,45.7,44.95,20.56,300.0,354.68,224.77,678.0,941.36,740.56,11.0,18.45,18.87,10.0,13.59,10.42,2.0,4.86,6.93,11.5,19.59,18.74,10.0,15.09,13.22,404.0,419.91,255.22,23.0,38.5,38.2,14.5,16.95,13.2,12.0,14.27,11.84,1.0,3.23,6.08,6.5,25.91,33.8,52.0,58.73,44.32,10.0,23.45,28.0,14.5,21.68,22.25,50.6,48.33,18.44
9,Fulham,28.77,28.76,3.35,23.0,21.68,8.57,16.0,15.45,10.39,1502.0,1388.82,864.58,0.5,2.09,3.1,1.0,1.77,2.43,2.0,3.0,2.86,0.0,0.09,0.29,0.8,1.9,2.53,0.7,1.46,1.71,18.5,29.05,33.17,45.0,57.14,43.96,28.5,56.23,65.98,0.02,0.2,0.34,0.1,0.11,0.13,0.07,0.15,0.17,0.09,0.1,0.08,1.35,1.35,N/a,68.3,68.3,N/a,16.1,16.1,N/a,0.0,0.0,N/a,30.8,28.99,20.24,0.2,0.58,0.7,0.06,0.08,0.11,15.4,16.49,4.35,583.0,604.91,454.48,81.85,80.51,7.91,9961.5,10809.5,8838.91,90.8,88.46,6.71,85.2,85.36,8.51,58.2,61.09,15.71,8.5,14.55,15.44,43.0,49.5,42.03,5.5,11.77,16.87,1.0,3.64,6.31,45.0,57.14,43.96,24.5,34.14,30.02,2.24,2.49,1.67,2.0,3.86,4.16,0.19,0.25,0.24,23.0,25.18,21.22,12.0,15.14,13.4,17.5,21.27,19.1,7.5,10.14,10.12,13.0,13.64,10.21,2.0,4.0,5.05,9.5,9.64,7.68,8.5,11.73,12.69,892.0,890.09,619.09,25.0,97.45,210.15,146.5,299.45,353.71,364.0,370.91,290.46,190.5,229.0,207.19,21.0,33.86,34.94,16.5,24.09,25.04,44.4,44.98,23.14,39.1,37.93,17.6,486.0,528.82,375.82,1120.0,1402.09,1123.73,18.5,29.05,33.17,15.5,20.18,21.4,3.5,8.45,10.55,13.5,18.55,16.8,7.0,10.73,10.92,587.5,598.77,411.01,28.5,56.23,65.98,14.0,15.59,12.32,12.5,13.45,10.29,0.0,1.59,2.99,12.0,31.86,44.62,50.5,59.5,40.94,13.5,19.73,19.96,16.0,19.41,19.17,50.0,46.95,21.15
