,,Median of Age,Mean of Age,Std of Age,Median of Standard_MP,Mean of Standard_MP,Std of Standard_MP,Median of Standard_Starts,Mean of Standard_Starts,Std of Standard_Starts,Median of Standard_Min,Mean of Standard_Min,Std of Standard_Min,Median of Standard_Gls,Mean of Standard_Gls,Std of Standard_Gls,Median of Standard_Ast,Mean of Standard_Ast,Std of Standard_Ast,Median of Standard_CrdY,Mean of Standard_CrdY,Std of Standard_CrdY,Median of Standard_CrdR,Mean of Standard_CrdR,Std of Standard_CrdR,Median of Standard_xG,Mean of Standard_xG,Std of Standard_xG,Median of Standard_xAG,Mean of Standard_xAG,Std of Standard_xAG,Median of Standard_PrgC,Mean of Standard_PrgC,Std of Standard_PrgC,Median of Standard_PrgP,Mean of Standard_PrgP,Std of Standard_PrgP,Median of Standard_PrgR,Mean of Standard_PrgR,Std of Standard_PrgR,Median of Standard_Gls/90,Mean of Standard_Gls/90,Std of Standard_Gls/90,Median of Standard_Ast/90,Mean of Standard_Ast/90,Std of Standard_Ast/90,Median of Standard_xG/90,Mean of Standard_xG/90,Std of Standard_xG/90,Median of Standard_xAG/90,Mean of Standard_xAG/90,Std of Standard_xAG/90,Median of Goalkeeping_GA90,Mean of Goalkeeping_GA90,Std of Goalkeeping_GA90,Median of Goalkeeping_Save%,Mean of Goalkeeping_Save%,Std of Goalkeeping_Save%,Median of Goalkeeping_CS%,Mean of Goalkeeping_CS%,Std of Goalkeeping_CS%,Median of Goalkeeping_Penalty_Save%,Mean of Goalkeeping_Penalty_Save%,Std of Goalkeeping_Penalty_Save%,Median of Shooting_SoT%,Mean of Shooting_SoT%,Std of Shooting_SoT%,Median of Shooting_SoT/90,Mean of Shooting_SoT/90,Std of Shooting_SoT/90,Median of Shooting_G/Sh,Mean of Shooting_G/Sh,Std of Shooting_G/Sh,Median of Shooting_Dist,Mean of Shooting_Dist,Std of Shooting_Dist,Median of Passing_Cmp,Mean of Passing_Cmp,Std of Passing_Cmp,Median of Passing_Total_Cmp%,Mean of Passing_Total_Cmp%,Std of Passing_Total_Cmp%,Median of Passing_TotDist,Mean of Passing_TotDist,Std of Passing_TotDist,Median of Passing_Short_Cmp%,Mean of Passing_Short_Cmp%,Std of Passing_Short_Cmp%,Median of Passing_Medium_Cmp%,Mean of Passing_Medium_Cmp%,Std of Passing_Medium_Cmp%,Median of Passing_Long_Cmp%,Mean of Passing_Long_Cmp%,Std of Passing_Long_Cmp%,Median of Passing_KP,Mean of Passing_KP,Std of Passing_KP,Median of Passing_1/3,Mean of Passing_1/3,Std of Passing_1/3,Median of Passing_PPA,Mean of Passing_PPA,Std of Passing_PPA,Median of Passing_CrsPA,Mean of Passing_CrsPA,Std of Passing_CrsPA,Median of Passing_PrgP,Mean of Passing_PrgP,Std of Passing_PrgP,Median of GCA_SCA,Mean of GCA_SCA,Std of GCA_SCA,Median of GCA_SCA90,Mean of GCA_SCA90,Std of GCA_SCA90,Median of GCA_GCA,Mean of GCA_GCA,Std of GCA_GCA,Median of GCA_GCA90,Mean of GCA_GCA90,Std of GCA_GCA90,Median of Defense_Tkl,Mean of Defense_Tkl,Std of Defense_Tkl,Median of Defense_TklW,Mean of Defense_TklW,Std of Defense_TklW,Median of Defense_Att,Mean of Defense_Att,Std of Defense_Att,Median of Defense_Lost,Mean of Defense_Lost,Std of Defense_Lost,Median of Defense_Blocks,Mean of Defense_Blocks,Std of Defense_Blocks,Median of Defense_Sh,Mean of Defense_Sh,Std of Defense_Sh,Median of Defense_Pass,Mean of Defense_Pass,Std of Defense_Pass,Median of Defense_Int,Mean of Defense_Int,Std of Defense_Int,Median of Possession_Touches,Mean of Possession_Touches,Std of Possession_Touches,Median of Possession_Def Pen,Mean of Possession_Def Pen,Std of Possession_Def Pen,Median of Possession_Def 3rd,Mean of Possession_Def 3rd,Std of Possession_Def 3rd,Median of Possession_Mid 3rd,Mean of Possession_Mid 3rd,Std of Possession_Mid 3rd,Median of Possession_Att 3rd,Mean of Possession_Att 3rd,Std of Possession_Att 3rd,Median of Possession_Att Pen,Mean of Possession_Att Pen,Std of Possession_Att Pen,Median of Possession_Att,Mean of Possession_Att,Std of Possession_Att,Median of Possession_Succ%,Mean of Possession_Succ%,Std of Possession_Succ%,Median of Possession_Tkld%,Mean of Possession_Tkld%,Std of Possession_Tkld%,Median of Possession_Carries,Mean of Possession_Carries,Std of Possession_Carries,Median of Possession_PrgDist,Mean of Possession_PrgDist,Std of Possession_PrgDist,Median of Possession_PrgC,Mean of Possession_PrgC,Std of Possession_PrgC,Median of Possession_1/3,Mean of Possession_1/3,Std of Possession_1/3,Median of Possession_CPA,Mean of Possession_CPA,Std of Possession_CPA,Median of Possession_Mis,Mean of Possession_Mis,Std of Possession_Mis,Median of Possession_Dis,Mean of Possession_Dis,Std of Possession_Dis,Median of Possession_Rec,Mean of Possession_Rec,Std of Possession_Rec,Median of Possession_PrgR,Mean of Possession_PrgR,Std of Possession_PrgR,Median of Misc_Fls,Mean of Misc_Fls,Std of Misc_Fls,Median of Misc_Fld,Mean of Misc_Fld,Std of Misc_Fld,Median of Misc_Off,Mean of Misc_Off,Std of Misc_Off,Median of Misc_Crs,Mean of Misc_Crs,Std of Misc_Crs,Median of Misc_Recov,Mean of Misc_Recov,Std of Misc_Recov,Median of Misc_Won,Mean of Misc_Won,Std of Misc_Won,Median of Misc_Lost,Mean of Misc_Lost,Std of Misc_Lost,Median of Misc_Won%,Mean of Misc_Won%,Std of Misc_Won%
0,all,26.55,26.88,4.23,22.0,20.3,9.47,14.0,14.91,10.44,1271.0,1336.99,882.78,1.0,1.95,3.41,1.0,1.44,2.16,2.0,2.87,2.54,0.0,0.09,0.3,0.8,1.98,3.0,0.8,1.46,1.82,14.0,25.4,29.73,35.0,50.05,48.36,24.0,49.45,62.25,0.03,0.12,0.18,0.04,0.09,0.13,0.07,0.13,0.16,0.07,0.1,0.1,1.47,1.64,0.65,68.5,67.26,8.27,19.4,23.88,22.66,0.0,18.74,29.99,30.8,29.62,19.67,0.23,0.41,0.48,0.06,0.08,0.1,16.3,16.77,5.04,437.0,537.32,444.83,80.1,79.27,8.26,6998.0,9231.99,8048.42,89.7,88.74,6.73,85.7,83.98,10.12,53.7,54.1,16.09,8.0,13.24,14.87,27.0,42.07,43.63,6.0,11.3,13.88,1.0,2.67,4.14,35.0,50.05,48.36,20.0,31.02,31.18,1.8,2.09,1.43,2.0,3.38,4.09,0.15,0.22,0.23,17.0,23.97,21.89,10.0,14.31,13.43,16.0,21.8,19.67,8.0,10.71,10.04,11.0,14.79,13.27,2.0,5.0,7.07,8.0,9.8,9.07,7.0,10.93,11.48,709.0,812.44,601.98,31.0,91.59,169.66,154.0,268.74,297.22,268.0,345.62,305.07,137.0,206.15,204.01,20.0,33.62,39.87,13.0,24.74,30.18,45.0,46.68,22.74,43.8,42.13,21.74,384.0,455.84,348.03,1004.0,1265.81,1061.24,14.0,25.4,29.73,12.0,17.11,17.78,2.0,7.91,13.8,12.0,18.39,18.73,7.0,12.87,14.36,467.0,531.79,407.26,24.0,49.45,62.25,11.0,15.0,13.4,10.0,14.55,14.21,1.0,2.31,3.83,9.0,23.72,34.7,44.0,56.57,45.06,9.0,17.61,20.53,12.0,17.6,17.9,50.0,48.87,21.64
1,Arsenal,26.85,26.47,3.82,22.5,22.59,7.93,16.0,17.0,10.16,1427.5,1519.45,881.68,2.0,2.77,2.81,1.5,2.27,2.68,2.5,2.91,1.97,0.0,0.23,0.53,1.65,2.5,2.59,0.9,1.89,2.13,23.0,34.32,31.38,55.5,75.18,60.82,51.0,74.18,75.04,0.1,0.16,0.17,0.11,0.14,0.15,0.1,0.15,0.14,0.1,0.12,0.12,0.85,0.85,N/a,75.5,75.5,N/a,35.3,35.3,N/a,0.0,0.0,N/a,31.7,27.89,16.69,0.22,0.41,0.41,0.14,0.14,0.13,15.0,14.67,5.0,459.5,700.41,551.78,82.8,82.35,6.3,7044.5,11484.32,9779.36,91.95,90.87,4.76,86.0,84.87,8.05,53.15,55.55,9.68,10.0,17.14,17.31,39.5,56.95,52.28,9.0,17.86,17.82,1.5,3.0,3.63,55.5,75.18,60.82,24.0,38.82,33.09,2.24,2.46,1.43,3.0,4.91,5.49,0.25,0.3,0.31,19.0,24.09,20.33,12.0,14.27,12.33,20.0,20.77,14.17,10.5,10.32,7.17,10.0,13.18,10.84,1.5,4.32,6.79,7.5,8.86,7.27,6.0,9.27,8.65,738.5,983.77,662.53,24.0,73.59,163.87,120.5,246.18,327.21,291.0,427.95,385.05,223.5,316.91,232.45,37.0,52.5,48.6,22.5,29.73,28.69,43.45,48.88,22.22,35.05,36.92,17.63,406.5,578.18,402.19,1282.5,1631.95,1113.23,23.0,34.32,31.38,19.0,21.36,17.96,4.5,11.77,14.58,15.0,19.32,15.29,13.5,15.68,13.36,528.5,693.68,483.47,51.0,74.18,75.04,14.0,16.64,11.06,17.0,16.32,11.71,1.5,3.41,3.72,11.0,31.82,42.05,48.0,58.05,40.03,10.5,19.5,19.82,15.5,18.95,17.76,51.15,48.0,19.48
2,Aston Villa,27.6,27.11,4.04,20.0,18.86,9.97,9.5,13.36,11.32,969.0,1200.0,913.12,1.0,1.86,3.29,0.0,1.46,2.36,2.0,2.43,2.25,0.0,0.07,0.26,0.8,1.91,2.94,0.45,1.4,1.95,16.0,23.07,22.74,33.5,42.75,46.34,20.0,42.32,50.76,0.04,0.18,0.29,0.0,0.09,0.12,0.08,0.19,0.25,0.06,0.09,0.1,1.7,1.7,0.42,60.75,60.75,7.28,57.6,57.6,59.96,50.0,50.0,N/a,27.8,29.4,22.13,0.2,0.47,0.67,0.06,0.08,0.08,16.3,16.92,4.5,396.0,476.64,413.24,82.1,81.22,7.16,5626.0,8150.39,7692.95,91.5,90.03,5.56,86.2,86.47,7.56,53.4,54.12,15.29,6.0,11.75,14.54,22.0,36.71,45.31,7.5,10.25,12.38,0.0,1.82,3.67,33.5,42.75,46.34,20.0,27.93,28.95,1.78,2.12,1.41,2.0,3.36,3.75,0.18,0.24,0.22,10.5,20.96,20.08,6.0,12.11,12.24,10.5,17.68,18.44,5.0,7.71,8.06,9.5,10.64,8.9,2.5,3.5,4.13,5.5,7.14,6.22,5.0,7.96,8.28,647.0,701.07,555.68,29.5,84.57,186.69,132.0,236.21,290.88,237.5,299.04,290.77,113.5,172.75,165.81,19.0,30.96,37.2,17.0,23.43,28.68,47.4,50.68,25.08,41.2,38.79,22.99,383.5,396.43,308.04,1052.0,1149.86,912.87,16.0,23.07,22.74,12.5,14.54,12.82,2.0,7.0,10.41,8.5,16.39,21.28,7.5,12.32,15.04,472.0,467.93,374.38,20.0,42.32,50.76,8.5,13.32,13.42,8.5,15.82,17.05,1.0,1.79,2.73,4.5,19.5,33.71,37.5,45.21,35.42,8.0,12.04,11.71,9.5,13.46,13.59,47.2,40.32,23.97
3,Bournemouth,25.97,26.44,3.84,24.0,21.0,9.5,16.0,15.74,11.01,1530.0,1409.65,946.73,1.0,2.22,3.41,1.0,1.61,2.02,3.0,3.61,2.97,0.0,0.04,0.21,1.0,2.62,3.47,1.1,1.76,1.83,19.0,28.48,33.23,41.0,56.83,50.94,31.0,56.0,69.69,0.03,0.14,0.18,0.04,0.1,0.12,0.08,0.18,0.2,0.1,0.13,0.15,1.0,1.09,0.16,80.0,79.87,4.8,20.0,15.63,13.97,0.0,0.0,N/a,30.2,25.09,17.11,0.16,0.55,0.66,0.06,0.06,0.05,16.45,15.76,4.44,415.0,478.74,387.99,74.1,73.93,6.72,6761.0,8706.61,7498.85,88.0,86.82,7.3,78.8,81.46,10.78,47.0,47.13,18.18,11.0,17.13,16.15,35.0,46.78,46.55,6.0,12.74,13.53,2.0,3.78,5.21,41.0,56.83,50.94,28.0,39.52,35.5,2.35,2.62,1.88,2.0,3.78,4.01,0.22,0.23,0.21,21.0,27.09,22.8,10.0,15.74,14.2,23.0,24.26,20.68,12.0,12.74,10.31,14.0,17.35,15.58,2.0,5.04,6.64,8.0,12.3,11.81,8.0,13.52,15.07,778.0,809.22,595.09,41.0,84.26,140.86,148.0,242.78,263.06,285.0,346.17,307.45,118.0,230.35,229.31,19.0,38.57,47.16,16.0,25.91,31.02,41.65,43.14,19.25,45.1,43.0,19.1,454.0,435.43,325.2,1059.0,1363.35,1229.3,19.0,28.48,33.23,15.0,19.74,19.21,1.0,8.91,15.83,17.0,22.17,20.14,8.0,13.43,16.53,406.0,473.87,350.88,31.0,56.0,69.69,15.0,19.35,17.46,10.0,14.83,13.13,0.0,2.65,4.85,10.0,31.57,39.51,55.0,69.91,55.65,20.0,22.3,20.33,22.0,23.61,20.2,45.9,50.33,17.98
4,Brentford,24.81,26.17,3.91,26.0,22.24,10.84,21.0,17.29,12.63,1913.0,1547.67,1066.35,0.0,2.67,5.11,1.0,1.76,2.45,2.0,2.29,1.59,0.0,0.05,0.22,0.8,2.42,3.83,1.2,1.74,2.2,12.0,24.52,31.19,51.0,55.9,52.12,27.0,55.29,73.31,0.0,0.11,0.19,0.06,0.08,0.1,0.06,0.12,0.16,0.08,0.09,0.08,1.38,1.38,0.21,61.65,61.65,16.48,57.8,57.8,59.68,0.0,0.0,N/a,37.5,32.6,16.51,0.17,0.31,0.37,0.06,0.08,0.09,14.9,15.85,4.32,471.0,553.86,426.45,77.2,76.54,7.97,7521.0,10141.9,8967.73,87.1,86.5,7.89,79.9,81.97,10.02,55.1,55.42,13.44,8.0,13.62,16.74,41.0,45.76,38.3,7.0,13.52,17.89,2.0,3.71,5.04,51.0,55.9,52.12,21.0,32.29,34.53,1.72,1.88,1.18,2.0,4.62,5.7,0.2,0.27,0.25,24.0,25.95,21.29,16.0,15.57,12.48,24.0,24.29,19.59,10.0,11.29,9.93,17.0,19.95,18.33,4.0,8.19,12.13,12.0,11.76,9.75,8.0,12.24,11.91,762.0,889.05,639.21,47.0,138.52,274.65,216.0,348.86,401.44,325.0,329.71,263.55,158.0,218.67,222.93,24.0,40.81,44.3,12.0,25.71,32.42,45.2,47.73,19.31,42.9,43.31,16.16,382.0,470.71,345.34,1164.0,1298.62,1089.3,12.0,24.52,31.19,9.0,15.19,18.25,1.0,8.67,16.67,14.0,21.29,23.82,8.0,12.05,13.0,475.0,545.62,392.17,27.0,55.29,73.31,11.0,12.43,10.11,10.0,14.19,13.56,1.0,2.95,4.48,13.0,27.9,42.82,50.0,67.33,53.94,12.0,26.0,29.82,14.0,23.1,23.08,55.1,54.04,19.43
5,Brighton,24.49,26.01,5.17,19.5,18.43,9.51,9.0,12.96,9.72,864.5,1163.11,848.89,1.0,1.82,2.88,1.0,1.18,1.54,2.0,2.57,2.52,0.0,0.11,0.31,0.6,1.83,2.59,0.75,1.26,1.4,16.0,24.79,29.44,37.0,47.21,48.25,26.5,46.93,61.07,0.04,0.12,0.15,0.04,0.08,0.1,0.08,0.13,0.12,0.09,0.1,0.08,1.09,1.09,0.83,69.35,69.35,7.99,34.7,34.7,21.64,0.0,0.0,N/a,28.2,29.35,21.64,0.27,0.44,0.65,0.06,0.08,0.09,16.4,17.37,3.76,323.0,489.39,464.6,80.55,79.45,8.19,4664.0,8341.54,8879.29,91.1,89.58,6.18,82.1,81.65,9.9,52.05,54.12,16.09,8.5,11.29,9.8,19.5,36.61,47.03,7.0,10.5,10.29,1.0,2.79,3.74,37.0,47.21,48.25,22.0,28.57,23.2,2.64,2.54,1.34,3.0,3.25,2.94,0.25,0.3,0.34,16.0,21.25,18.42,9.5,12.82,11.13,17.5,21.57,17.85,9.0,11.14,8.85,11.5,13.61,11.92,2.0,3.79,5.22,8.5,9.82,9.73,8.5,9.86,9.42,583.0,733.32,595.89,22.5,80.75,185.92,117.5,235.46,312.17,227.0,319.14,310.66,135.5,186.96,173.59,15.5,32.68,40.93,12.0,25.79,31.37,42.5,44.77,21.53,47.9,47.18,20.81,341.0,428.61,373.34,945.5,1293.79,1407.48,16.0,24.79,29.44,15.0,17.57,18.08,2.0,7.64,14.03,10.0,17.86,18.71,7.0,11.0,11.85,387.5,483.71,410.47,26.5,46.93,61.07,9.5,13.82,12.15,7.5,13.04,14.48,1.0,1.29,1.76,10.0,21.04,25.59,38.0,50.68,42.28,11.5,16.46,17.49,10.5,14.54,14.29,53.8,51.34,19.62
6,Chelsea,24.28,24.17,2.38,17.0,18.58,10.61,11.5,13.96,11.01,1046.5,1253.35,962.01,1.0,2.15,3.39,1.0,1.65,2.12,2.5,3.62,3.25,0.0,0.04,0.2,0.7,2.41,3.94,1.05,1.85,2.28,11.0,29.31,37.26,30.5,54.96,60.64,11.5,54.23,72.45,0.05,0.15,0.21,0.06,0.14,0.19,0.08,0.16,0.18,0.1,0.15,0.17,1.32,1.32,0.25,73.75,73.75,3.32,21.3,21.3,6.51,10.0,10.0,14.14,33.3,29.57,21.49,0.26,0.46,0.48,0.08,0.09,0.12,15.0,15.1,4.57,451.0,618.62,559.33,84.75,84.17,6.48,7272.0,10694.73,10041.24,92.55,91.19,5.82,90.7,88.46,7.36,58.75,57.6,17.91,6.0,15.96,20.51,25.5,51.42,56.11,4.0,12.46,16.51,0.0,2.62,5.15,30.5,54.96,60.64,15.0,37.08,44.89,1.78,2.34,1.69,2.0,3.85,4.42,0.21,0.26,0.25,11.0,19.12,22.38,8.0,11.96,13.87,11.5,18.15,21.05,5.5,9.15,11.19,9.0,11.85,12.8,1.5,3.5,5.27,5.5,8.35,9.47,7.0,9.12,10.4,683.0,857.73,727.12,19.5,79.65,168.39,120.0,256.38,314.89,235.5,385.77,393.38,91.5,222.58,248.06,11.0,38.88,49.02,12.5,26.0,31.63,43.05,46.08,20.29,40.7,38.74,23.34,381.5,499.42,403.31,979.0,1410.15,1118.14,11.0,29.31,37.26,9.5,16.77,18.56,1.0,10.65,19.49,6.0,15.35,17.92,5.5,10.31,11.24,462.0,613.5,513.93,11.5,54.23,72.45,7.0,14.65,15.37,10.0,15.04,16.24,1.0,2.08,3.7,3.0,22.69,38.44,36.5,52.46,48.26,8.0,13.54,16.13,8.0,13.38,14.23,42.1,46.62,25.99
7,Crystal Palace,27.16,27.14,3.14,29.0,23.38,10.21,18.0,17.71,12.47,1562.0,1585.9,1047.05,0.0,1.86,3.37,1.0,1.52,2.09,2.0,3.48,3.25,0.0,0.19,0.4,1.0,2.44,3.34,1.2,1.88,2.11,11.0,21.1,21.89,46.0,48.67,38.25,10.0,48.19,62.81,0.0,0.09,0.13,0.03,0.06,0.08,0.08,0.14,0.14,0.11,0.1,0.07,1.38,1.38,N/a,66.9,66.9,N/a,29.4,29.4,N/a,50.0,50.0,N/a,33.3,30.12,18.02,0.34,0.5,0.47,0.0,0.06,0.09,17.7,18.14,5.67,511.0,504.38,382.23,75.6,74.23,6.96,8122.0,9060.9,7422.37,85.3,84.42,6.45,82.0,79.97,10.58,46.7,49.84,18.5,9.0,15.62,15.76,27.0,37.81,31.63,4.0,11.43,12.01,1.0,2.81,4.07,46.0,48.67,38.25,26.0,36.29,33.82,2.06,2.2,1.5,3.0,3.52,3.31,0.16,0.18,0.17,21.0,32.62,29.19,14.0,19.14,18.12,23.0,27.95,21.55,15.0,14.05,9.84,19.0,20.48,17.7,3.0,5.9,6.77,13.0,14.57,12.77,11.0,13.67,14.07,827.0,860.86,604.16,27.0,107.71,212.6,172.0,322.71,357.73,367.0,358.14,264.31,137.0,188.24,178.24,15.0,32.57,34.79,12.0,20.33,28.56,40.95,41.49,23.87,46.6,48.24,26.48,413.0,431.52,304.65,949.0,1055.0,767.83,11.0,21.1,21.89,10.0,15.0,13.66,1.0,5.19,7.51,14.0,21.0,20.38,13.0,14.38,14.11,510.0,499.67,342.67,10.0,48.19,62.81,12.0,17.62,15.85,18.0,17.24,14.97,1.0,3.14,4.91,11.0,25.43,31.19,60.0,70.86,52.54,17.0,21.67,21.55,19.0,27.14,24.63,43.4,41.18,18.61
8,Everton,26.5,27.94,5.03,23.5,21.09,9.0,14.5,16.45,10.34,1250.0,1476.5,874.82,1.0,1.41,1.97,1.0,0.91,1.11,3.0,3.23,2.22,0.0,0.09,0.29,0.95,1.65,1.95,0.95,1.27,1.11,11.5,19.09,19.6,33.5,39.95,33.46,23.0,39.23,39.18,0.04,0.09,0.13,0.03,0.06,0.08,0.05,0.12,0.13,0.06,0.08,0.07,1.21,1.21,N/a,70.8,70.8,N/a,30.3,30.3,N/a,100.0,100.0,N/a,34.8,32.39,23.23,0.26,0.37,0.39,0.06,0.08,0.1,17.3,17.29,5.33,381.5,436.14,320.49,73.2,74.0,7.82,6842.5,8259.59,7416.05,86.05,85.3,7.78,82.3,79.6,12.27,53.7,56.74,15.56,8.5,11.95,9.82,33.5,39.05,33.26,8.0,10.27,9.78,1.0,3.41,4.92,33.5,39.95,33.46,24.5,28.18,19.28,1.8,1.92,1.14,2.0,2.36,2.06,0.1,0.16,0.16,23.0,29.27,27.54,13.0,17.0,16.44,21.0,25.45,21.27,7.5,12.18,10.58,12.5,15.64,14.06,3.0,5.73,9.24,7.5,9.91,8.19,9.5,13.23,12.52,645.0,754.86,489.44,29.5,96.41,207.25,155.0,273.5,342.81,276.0,301.41,220.23,168.0,188.23,137.65,18.5,28.68,25.18,17.0,25.77,29.19,48.6,48.13,19.8,43.9,44.2,20.24,301.5,363.86,232.36,678.0,967.09,767.06,11.5,19.09,19.6,11.0,13.95,10.72,2.0,4.95,6.96,12.5,20.27,19.03,10.0,15.32,13.44,404.0,432.14,262.83,23.0,39.23,39.18,15.0,17.27,13.43,12.5,14.55,12.07,1.0,3.45,6.26,6.5,26.55,34.7,53.5,60.18,45.52,10.0,24.36,28.47,14.5,22.14,22.28,50.6,48.72,18.24
9,Fulham,28.8,28.79,3.35,25.0,23.09,9.07,16.5,16.45,11.02,1574.0,1478.5,920.96,0.5,2.14,3.2,1.0,1.82,2.42,2.0,3.14,2.96,0.0,0.09,0.29,0.95,1.96,2.54,0.75,1.5,1.77,21.0,30.82,34.6,49.0,60.64,47.08,30.0,59.64,69.84,0.02,0.17,0.25,0.09,0.11,0.14,0.08,0.15,0.16,0.08,0.1,0.08,1.36,1.36,N/a,68.4,68.4,N/a,15.2,15.2,N/a,0.0,0.0,N/a,31.4,29.73,19.09,0.27,0.55,0.63,0.06,0.07,0.09,15.4,16.56,4.37,608.0,638.05,482.21,81.55,80.24,7.89,10453.0,11410.14,9407.83,90.7,88.37,6.74,85.2,84.73,8.99,57.45,58.25,12.63,9.0,15.09,16.21,44.5,52.5,45.03,6.0,12.59,17.77,1.5,3.82,6.46,49.0,60.64,47.08,25.5,35.41,30.65,2.23,2.43,1.62,2.5,3.95,4.12,0.18,0.24,0.22,23.0,26.36,21.8,12.0,16.14,13.85,18.0,22.23,19.84,8.0,10.86,10.86,14.0,14.68,10.82,2.0,4.32,5.64,9.5,10.36,8.06,8.5,12.36,13.52,911.0,942.5,658.77,25.5,104.27,225.87,151.0,318.82,378.45,376.0,390.86,306.84,202.0,242.86,218.57,28.5,36.23,35.62,17.5,25.41,25.58,44.8,43.25,20.27,39.1,38.02,17.24,504.0,558.64,400.5,1187.0,1490.5,1199.65,21.0,30.82,34.6,16.0,21.5,22.38,4.0,8.95,11.08,14.5,20.05,17.57,7.5,11.32,11.53,620.0,631.64,436.67,30.0,59.64,69.84,15.0,16.64,12.86,14.0,14.27,10.69,0.5,1.68,3.03,14.5,34.41,48.73,54.5,63.82,43.32,14.0,20.91,20.97,17.5,21.09,19.86,47.0,45.98,20.97
