Feature,Importance
Age,0.2709764174894737
Standard_xG/90,0.05632520412674618
Possession_Att 3rd,0.047542767102948955
Possession_Att Pen,0.043790981041866565
Standard_Gls/90,0.04204803566492309
Standard_xG,0.03588152024137078
Shooting_SoT/90,0.03561632341250398
Standard_Gls,0.028898958025903154
GCA_SCA,0.028087745701662847
Passing_PPA,0.0245171061457559
Passing_Long_Cmp%,0.022024487175445407
GCA_GCA,0.02084432140592768
Possession_PrgDist,0.020311023300609434
Passing_Total_Cmp%,0.015109992230949307
Standard_PrgP,0.012910542569420756
Defense_TklW,0.012685993492631166
Standard_MP,0.012330035121251293
Possession_Rec,0.011199873272163865
Passing_Short_Cmp%,0.010761344846119436
Passing_Medium_Cmp%,0.00934105462659897
